File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/056/before.bvmc,0x1,0x8,カフェ付近の道,,0x0,0x1 0x7c 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0x2,0x17,カメラ０,,0x0,0x1 0x82 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0x3,0x20,ミオ＿基本姿勢,,0x0,0x2 0x9b 0xf5 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0x4,0x2f,ミオ,,0x0,0xf 0xa2 0xc2 0xce 0xd4 0xfa 0x107 0x10e 0x115 0x138 0x13f 0x169 0x23d 0x271 0x27f 0x2a5 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0x5,0x34,"やあ、ケイ！
/p！","Hey, Kay! /p!",0x0,0x1 0xa4 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0x6,0x47,主人公＿微笑,,0x0,0x2 0xaa 0xdc 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0x7,0x54,ケイ＿微笑み系Ｌ,,0x0,0x2 0xb1 0x287 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0x8,0x65,ケイ,,0x0,0x10 0xb6 0xe8 0xee 0x14e 0x184 0x193 0x19a 0x21a 0x228 0x257 0x28c 0x2b3 0x2c1 0x2c8 0x2cf 0x2d6 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0x9,0x6a,"ミオ！
元気か？","Mio!
Have you been keeping well?",0x0,0x1 0xb8 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0xa,0x7b,ミオ＿微笑,,0x0,0x1 0xbd 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0x4,0x2f,ミオ,,0x0,0xf 0xa2 0xc2 0xce 0xd4 0xfa 0x107 0x10e 0x115 0x138 0x13f 0x169 0x23d 0x271 0x27f 0x2a5 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0xb,0x86,ええ。,Yes.,0x0,0x1 0xc4 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0xc,0x8d,ミオ＿笑う,,0x0,0x1 0xc9 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0x4,0x2f,ミオ,,0x0,0xf 0xa2 0xc2 0xce 0xd4 0xfa 0x107 0x10e 0x115 0x138 0x13f 0x169 0x23d 0x271 0x27f 0x2a5 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0xd,0x98,ふふ。,He he.,0x0,0x1 0xd0 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0x4,0x2f,ミオ,,0x0,0xf 0xa2 0xc2 0xce 0xd4 0xfa 0x107 0x10e 0x115 0x138 0x13f 0x169 0x23d 0x271 0x27f 0x2a5 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0xe,0x9f,今日も一緒なんだ。,You're together today as well.,0x0,0x1 0xd6 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0x6,0x47,主人公＿微笑,,0x0,0x2 0xaa 0xdc 0x0,196,42,14
bvm_decmp/m/056/before.bvmc,0xf,0xb2,ケイ＿基本姿勢Ｌ,,0x0,0x1 0xe3 0x0,196,42,14
