File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/111/before4.bvmc,0x1,0xb,dawn,,0x0,0x1 0x6e 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x2,0x10,自機,,0x0,0x1 0x74 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x3,0x15,自注,,0x0,0x1 0x76 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x4,0x1a,swdgunk,,0x0,0x1 0x7e 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x5,0x22,アンマリー機,,0x0,0x1 0x80 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x6,0x2f,アンマリー機注,,0x0,0x1 0x82 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x7,0x3e,bigdawn,,0x0,0x1 0x8b 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x8,0x46,ビッグドゥーン,,0x0,0x1 0x8d 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x9,0x55,ビッグドゥーン注,,0x0,0x1 0x8f 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0xa,0x66,開始イベント終,,0x0,0x1 0xa0 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0xb,0x75,Func0018086C,,0x0,0x1 0xa6 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0xc,0x82,成功,,0x0,0x1 0xc5 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0xd,0x87,終了,,0x0,0x1 0xcb 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0xe,0x8c,ドゥーン５,,0x0,0x1 0xfd 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0xf,0x97,ドゥーン注５,,0x0,0x1 0xff 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x10,0xa4,カメラ３,,0x0,0x1 0x112 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x11,0xad,CrossArm,,0x0,0x1 0x129 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x12,0xb6,カメラ３＿２,,0x0,0x1 0x146 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x13,0xc3,カメラ３＿３,,0x0,0x1 0x159 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x14,0xd0,コックピット,,0x0,0xb 0x18a 0x2cc 0x353 0x374 0x409 0x433 0x497 0x511 0x54f 0x581 0x5df 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x15,0xdd,アンマリー＿操縦やられ,,0x0,0x1 0x191 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x16,0xf4,アンマリー,,0x0,0xd 0x19c 0x2df 0x380 0x387 0x416 0x440 0x447 0x4a4 0x4b2 0x51e 0x55c 0x58e 0x5ec 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x17,0xff,きゃぁぁぁぁ！,Aaaaagh!,0x1 0x2 0x19f 0x1a4,0x1 0x19e 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x18,0x10e,Func0018068C,,0x0,0x0 0x1 0x1c0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x19,0x11b,ドゥーン１,,0x0,0x0 0x1 0x1e3,196,42,14
bvm_decmp/m/111/before4.bvmc,0x1a,0x126,ドゥーン注１,,0x0,0x0 0x1 0x1e6,196,42,14
bvm_decmp/m/111/before4.bvmc,0x1b,0x133,カメラ２,,0x0,0x0 0x1 0x217,196,42,14
bvm_decmp/m/111/before4.bvmc,0x1c,0x13c,ドゥーン２,,0x0,0x0 0x1 0x237,196,42,14
bvm_decmp/m/111/before4.bvmc,0x1d,0x147,ドゥーン注２,,0x0,0x0 0x1 0x23a,196,42,14
bvm_decmp/m/111/before4.bvmc,0x1e,0x154,カメラ２＿２,,0x0,0x0 0x1 0x24b,196,42,14
bvm_decmp/m/111/before4.bvmc,0x1f,0x161,ドゥーン３,,0x0,0x0 0x1 0x26d,196,42,14
bvm_decmp/m/111/before4.bvmc,0x20,0x16c,ドゥーン注３,,0x0,0x0 0x1 0x270,196,42,14
bvm_decmp/m/111/before4.bvmc,0x21,0x179,カメラ２＿３,,0x0,0x0 0x1 0x281,196,42,14
bvm_decmp/m/111/before4.bvmc,0x22,0x186,ドゥーン４,,0x0,0x0 0x1 0x29c,196,42,14
bvm_decmp/m/111/before4.bvmc,0x23,0x191,ドゥーン注４,,0x0,0x0 0x1 0x29f,196,42,14
bvm_decmp/m/111/before4.bvmc,0x24,0x19e,カメラ２＿４,,0x0,0x0 0x1 0x2b0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x14,0xd0,コックピット,,0x0,0xb 0x18a 0x2cc 0x353 0x374 0x409 0x433 0x497 0x511 0x54f 0x581 0x5df 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x25,0x1ab,アンマリー＿操縦小さい驚き,,0x0,0x0 0x5 0x2d3 0x43a 0x49e 0x556 0x588,196,42,14
bvm_decmp/m/111/before4.bvmc,0x16,0xf4,アンマリー,,0x0,0xd 0x19c 0x2df 0x380 0x387 0x416 0x440 0x447 0x4a4 0x4b2 0x51e 0x55c 0x58e 0x5ec 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x26,0x1c6,あれは……何……？,What... is that thing...?,0x0,0x0 0x1 0x2e1,196,42,14
bvm_decmp/m/111/before4.bvmc,0x27,0x1d9,闇の都市＿夕方,,0x0,0x0 0xa 0x2e6 0x34d 0x3ae 0x41d 0x44e 0x4b9 0x531 0x563 0x5a1 0x5f3,196,42,14
bvm_decmp/m/111/before4.bvmc,0x28,0x1e8,ファウスト＿遠くを見る横顔マント無,,0x0,0x0 0x2 0x2ee 0x539,196,42,14
bvm_decmp/m/111/before4.bvmc,0x29,0x20b,ファウスト,,0x0,0x0 0x19 0x2f4 0x2fc 0x3c0 0x3c8 0x3d0 0x42b 0x45c 0x464 0x487 0x48f 0x4f9 0x501 0x509 0x53f 0x547 0x571 0x579 0x5af 0x5b7 0x5bf 0x5c7 0x5cf 0x5d7 0x601 0x609,196,42,14
bvm_decmp/m/111/before4.bvmc,0x2a,0x216,にげろ……。,Run...,0x0,0x0 0x1 0x2f7,196,42,14
bvm_decmp/m/111/before4.bvmc,0x29,0x20b,ファウスト,,0x0,0x0 0x19 0x2f4 0x2fc 0x3c0 0x3c8 0x3d0 0x42b 0x45c 0x464 0x487 0x48f 0x4f9 0x501 0x509 0x53f 0x547 0x571 0x579 0x5af 0x5b7 0x5bf 0x5c7 0x5cf 0x5d7 0x601 0x609,196,42,14
bvm_decmp/m/111/before4.bvmc,0x2b,0x223,急げ。,Hurry.,0x0,0x0 0x1 0x2ff,196,42,14
bvm_decmp/m/111/before4.bvmc,0x2c,0x22a,Func0017DD4C,,0x0,0x0 0x1 0x312,196,42,14
bvm_decmp/m/111/before4.bvmc,0x2d,0x237,カメラ１,,0x0,0x0 0x1 0x331,196,42,14
bvm_decmp/m/111/before4.bvmc,0x27,0x1d9,闇の都市＿夕方,,0x0,0x0 0xa 0x2e6 0x34d 0x3ae 0x41d 0x44e 0x4b9 0x531 0x563 0x5a1 0x5f3,196,42,14
bvm_decmp/m/111/before4.bvmc,0x14,0xd0,コックピット,,0x0,0xb 0x18a 0x2cc 0x353 0x374 0x409 0x433 0x497 0x511 0x54f 0x581 0x5df 0x0,196,42,14
bvm_decmp/m/111/before4.bvmc,0x2e,0x240,ラスボスコックピット,,0x0,0x0 0x1 0x358,196,42,14
bvm_decmp/m/111/before4.bvmc,0x2f,0x255,カメラ１＿２,,0x0,0x0 0x1 0x363,196,42,14
bvm_decmp/m/111/before4.bvmc,0x30,0x262,アンマリー＿操縦ニヤリ,,0x0,0x0 0x1 0x36e,196,42,14
bvm_decmp/m/111/before4.bvmc,0x14,0xd0,コックピット,,0x0,0xb 0x18a 0x2cc 0x353 0x374 0x409 0x433 0x497 0x511 0x54f 0x581 0x5df 0x0,196,42,14
