File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/S_AC/before.bvmc,0x1,0x13,"
を獲得しました。","
acquired.",0x0,0x2 0x92 0xce 0x0,196,42,14
bvm_decmp/m/S_AC/before.bvmc,0x1,0x13,"
を獲得しました。","
acquired.",0x0,0x2 0x92 0xce 0x0,196,42,14
bvm_decmp/m/S_AC/before.bvmc,0x2,0x26,"工房で、
新しい人形が売り出されました。"," Workshop has new
Mechs in stock.",0x0,0x1 0x14d 0x0,196,42,14
bvm_decmp/m/S_AC/before.bvmc,0x0,0x0,"Ｇ
獲得しました。"," G
acquired.",0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_AC/before.bvmc,0x3,0x4f,sel,,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_AC/before.bvmc,0x4,0x53,i,,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_AC/before.bvmc,0x5,0x55,num,,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_AC/before.bvmc,0x6,0x59,str0,,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_AC/before.bvmc,0x7,0x5e,str1,,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_AC/before.bvmc,0x8,0x63,OnGameOver,,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_AC/before.bvmc,0x9,0x6e,main,,0x0,0x0 0x0,196,42,14
