File,Offset,Pointers,Japanese,English,width,height,lineheight,
opb/PartsDesc.opb,0x159c,0x0,真鍮装甲,Brass Armour,102,14,14,
opb/PartsDesc.opb,0x15a5,0x1 0x640,耐久力＋２０,Stamina +20,240,64,16,
opb/PartsDesc.opb,0x15b2,0x1 0x644,"　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。",　An accessory that reinforces a mech's framework. Metal is wrapped around the framework to enhance it's durability.,240,64,16,
opb/PartsDesc.opb,0x15f1,0x1 0x650,青銅装甲,Bronze Armour,102,14,14,
opb/PartsDesc.opb,0x15fa,0x1 0x654,耐久力＋4０,Stamina +40,240,64,16,
opb/PartsDesc.opb,0x1607,0x1 0x658,"　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。",　An accessory that reinforces a mech's framework. Metal is wrapped around the framework to enhance it's durability.,240,64,16,
opb/PartsDesc.opb,0x1646,0x1 0x664,鋼鉄装甲,Steel Armour,102,14,14,
opb/PartsDesc.opb,0x164f,0x1 0x668,耐久力＋８０,Stamina +80,240,64,16,
opb/PartsDesc.opb,0x165c,0x1 0x66c,"　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。",　An accessory that reinforces a mech's framework. Metal is wrapped around the framework to enhance it's durability.,240,64,16,
opb/PartsDesc.opb,0x169b,0x1 0x678,白銀装甲,Silver Armour,102,14,14,
opb/PartsDesc.opb,0x16a4,0x1 0x67c,耐久力＋１5０,Stamina +150,240,64,16,
opb/PartsDesc.opb,0x16b3,0x1 0x680,"　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。",　An accessory that reinforces a mech's framework. Metal is wrapped around the framework to enhance it's durability.,240,64,16,
opb/PartsDesc.opb,0x16f2,0x1 0x68c,金剛装甲,Mythril Armour,102,14,14,
opb/PartsDesc.opb,0x16fb,0x1 0x690,耐久力＋３００,Stamina +300,240,64,16,
opb/PartsDesc.opb,0x170a,0x1 0x694,"　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。",　An accessory that reinforces a mech's framework. Metal is wrapped around the framework to enhance it's durability.,240,64,16,
opb/PartsDesc.opb,0x1749,0x1 0x6a0,真鍮防弾鎧,Brass Gunplate,102,14,14,
opb/PartsDesc.opb,0x1754,0x1 0x6a4,射撃武器のダメージを１０％軽減,Damage from firearms reduced by 10%,240,64,16,
opb/PartsDesc.opb,0x1773,0x1 0x6a8,"　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","　Armoured plate to reinforce a mech's outer body. With excellent bulletproofing properties, it resists penetration by shells from ranged weapons. ",240,64,16,
opb/PartsDesc.opb,0x17bc,0x1 0x6b4,青銅防弾鎧,Bronze Gunplate,102,14,14,
opb/PartsDesc.opb,0x17c7,0x1 0x6b8,射撃武器のダメージを１5％軽減,Damage from firearms reduced by 15%,240,64,16,
opb/PartsDesc.opb,0x17e6,0x1 0x6bc,"　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","　Armoured plate to reinforce a mech's outer body. With excellent bulletproofing properties, it resists penetration by shells from ranged weapons. ",240,64,16,
opb/PartsDesc.opb,0x182f,0x1 0x6c8,鋼鉄防弾鎧,Steel Gunplate,102,14,14,
opb/PartsDesc.opb,0x183a,0x1 0x6cc,射撃武器のダメージを２０％軽減,Damage from firearms reduced by 20%,240,64,16,
opb/PartsDesc.opb,0x1859,0x1 0x6d0,"　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","　Armoured plate to reinforce a mech's outer body. With excellent bulletproofing properties, it resists penetration by shells from ranged weapons. ",240,64,16,
opb/PartsDesc.opb,0x18a2,0x1 0x6dc,白銀防弾鎧,Silver Gunplate,102,14,14,
opb/PartsDesc.opb,0x18ad,0x1 0x6e0,射撃武器のダメージを２5％軽減,Damage from firearms reduced by 25%,240,64,16,
opb/PartsDesc.opb,0x18cc,0x1 0x6e4,"　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","　Armoured plate to reinforce a mech's outer body. With excellent bulletproofing properties, it resists penetration by shells from ranged weapons. ",240,64,16,
opb/PartsDesc.opb,0x1915,0x1 0x6f0,金剛防弾鎧,Mythril Gunplate,102,14,14,
opb/PartsDesc.opb,0x1920,0x1 0x6f4,射撃武器のダメージを３０％軽減,Damage from firearms reduced by 30%,240,64,16,
opb/PartsDesc.opb,0x193f,0x1 0x6f8,"　人形の外殻を補強する装甲板。防弾性
に優れ、弾丸や光学兵器を遮断する。","　Armoured plate to reinforce a mech's outer body. With excellent bulletproofing properties, it resists penetration by shells from ranged weapons. ",240,64,16,
opb/PartsDesc.opb,0x1988,0x1 0x704,冷却器,Radiator,102,14,14,
opb/PartsDesc.opb,0x198f,0x1 0x708,オーバーヒート後の冷却時間を少し短縮,Slightly shortens cooling time after overheating.,240,64,16,
opb/PartsDesc.opb,0x19b4,0x1 0x70c,　人形の身体を冷却するための装置。,　Equipment for cooling a mech's body.,240,64,16,
opb/PartsDesc.opb,0x19d7,0x1 0x718,大型冷却器,Jumbo Radiator,102,14,14,
