File,Offset,Pointers,Japanese,English,width,height,lineheight,,
RoboDesc.opb,0x1dec,0x1 0x4ac,人形甲虫アヴェルス,Mech Beetle Avelus,-1,-1,16,,
RoboDesc.opb,0x1dff,0x1 0x4b0,人形甲虫アヴェルス,|Mech Beetle Avelus,124,16,16,,
RoboDesc.opb,0x1e12,0x1 0x4bc,"　人形甲虫の新モ
デル。アトラス大
カブトをモデルに
作られた。人形甲
虫の中では、最高
の性能を持ってい
る。",　A new kind of beetle mech modelled on the large Atlas beetle. It has the best performance amongst the beetle-type mechs.,114,176,16,"Your guess is as good as mine for most of the Katakana spellings. Feel free to go with whatever you think sounds cool! 
'!' marks names that also appear in the main text. They should all match up atm, but will need to be updated if there are any further changes.",
RoboDesc.opb,0x1e83,0x1 0x4c0,"　左下のレバーを
動かすとツノが動
く。円形の回転レ
バーを回している
間、動きが素早く
なる。左上のスイ
ッチでバトルモー
ドチェンジ。バト
ルモードでは戦闘
力が高まるが、熱
量は増加していく。","  Bottom-left lever: Moves the horn.
  Spinner: Increases speed.
  Left switch: Toggles Battle Mode.
  Battle Mode increases fighting power, but builds up heat faster.",114,176,16,,
RoboDesc.opb,0x1f4a,0x1 0x4d8,オートガンナー,Autogunner,-1,-1,16,,
RoboDesc.opb,0x1f59,0x1 0x4dc,オートガンナー,|Autogunner,124,16,16,!,
RoboDesc.opb,0x1f68,0x2 0x4e8 0x4ec,"　重戦車のような
オートマン。人形
としての機能の大
部分を捨てて戦闘
力のみを高めた恐
るべき自動人形で
ある。安定性を高
めるため、脚部は
キャタピラとなり、
アームは回転キャ
ノン砲となった。","　An Automan similar to a heavy tank. It's a formidable mech on which many standard features have been discarded in preference of boosting it's combat abilities. The legs have become caterpillar treads to improve stability, while the arms have become rotating cannon guns.",114,176,16,,
RoboDesc.opb,0x202f,0x1 0x504,オートマン,Automan,-1,-1,16,,
RoboDesc.opb,0x203a,0x1 0x508,オートマン,|Automan,124,16,16,!,
RoboDesc.opb,0x2045,0x2 0x514 0x518,"　闇の人形師ファ
ウストが完成させ
た自動人形。自律
行動が可能な超高
性能人形である。
　人形としての構
造は単純化されて
いるが、それでも
二足歩行を実現さ
せている。","　An automatic mech created by the Dark Puppet Maker Faust. It's a super high-performance mech that can act autonomously. 
　Whilst it has a simpler structure than standard mechs, it is still capable of bipedal movement.",114,176,16,,
RoboDesc.opb,0x20f2,0x1 0x530,オートマンＷタンク,Automan W-Tank,-1,-1,16,,
RoboDesc.opb,0x2105,0x1 0x534,オートマンＷタンク,Automan W-Tank,124,16,16,,
RoboDesc.opb,0x2118,0x2 0x540 0x544,"　正式名称はオー
トマン・ワイルド
タンク。巨大なハ
ンマーを搭載する
ためキャタピラ移
動式となり、その
分、汎用性が低下。
完全に戦闘用のオ
ートマンとなった。
　人形都市によっ
て生み出された。","　Its official name is the {Automan Wild Tank}. Due to the huge hammers equipped, it has to use caterpillar treads, reducing its versatility. 
　Created by the Mech City, it's an Automan tailored for combat.",114,176,16,,
RoboDesc.opb,0x21e1,0x1 0x55c,バネ人形スプリンガ,Spring Mech Springer,-1,-1,16,,
RoboDesc.opb,0x21f4,0x1 0x560,バネ人形スプリンガ,|Spring Mech Springer,124,16,16,! 002,
RoboDesc.opb,0x2207,0x1 0x56c,"　１０年以上前に
開発された人形。
バネを動力とし、
電子装備を一切使
っていない。
　重量が軽いため、
バネによって素早
く動く。
　対オートマン用
の武装も追加され、
旧型のわりに強い。","　A mech developed well over 10 years ago. Powered by springs, it doesn't have a single electronic component.
　Being lightweight, it is able to move about nimbly using springs.
　Anti-Automen Armour has also been added, making it comparatively strong for an older model.",114,176,16,,
RoboDesc.opb,0x22c6,0x1 0x570,"　コクピットに置
かれた３つのバネ
で操作する。
　左のバネを下に
引いてから離すと、
スプリングパンチ。
　中央のバネで、
フリップショット。
　右のバネで高速
前進スプリングチ
ャージ。","  Operate using the three springs in the cockpit.
  Left spring: Pull and release to do a Spring Punch.
  Centre spring: Flip Shot.
  Right spring: Does a high-speed Spring Charge.",114,176,16,,
RoboDesc.opb,0x2385,0x1 0x588,バネ人形スプリンガＢ,Spring Mech Springer-B,-1,-1,16,,
RoboDesc.opb,0x239a,0x1 0x58c,バネ人形スプリンガＢ,|Spring Mech Springer-B,124,16,16,,
RoboDesc.opb,0x23af,0x1 0x598,"　バネ人形の強化
型。スプリングパ
ンチの破壊力が劇
的に増加。接近戦
により強くなった。","　An enhanced version of the Spring Mech. The destructive power of it's Spring Punch has been dramatically improved, making it a stronger competitor in close combat.",114,176,16,,
RoboDesc.opb,0x240a,0x1 0x59c,"　コクピットに置
かれた３つのバネ
で操作する。
　左のバネを下に
引いてから離すと、
スプリングパンチ。
　中央のバネで、
フリップショット。
　右のバネで高速
前進スプリングチ
ャージ。","  Operate using the three springs in the cockpit.
  Left spring: Pull and release to do a Spring Punch.
  Centre spring: Flip Shot.
  Right spring: Does a high-speed Spring Charge.",114,176,16,,
RoboDesc.opb,0x24c9,0x1 0x5b4,バネ人形スプリンガＳ,Spring Mech Springer-S,-1,-1,16,,
RoboDesc.opb,0x24de,0x1 0x5b8,バネ人形スプリンガＳ,|Spring Mech Springer-S,124,16,16,,
RoboDesc.opb,0x24f3,0x1 0x5c4,"　バネ人形の完成
形。
　神鉄でできたバ
ネを搭載すること
で、驚異的な性能
を持つようになっ
た。","　The final version of the Spring Mech.
　By equipping it with a spring made from Mythril, it's able to produce a phenomenal performance.",114,176,16,,
RoboDesc.opb,0x2558,0x1 0x5c8,"　コクピットに置
かれた３つのバネ
で操作する。
　左のバネを下に
引いてから離すと、
スプリングパンチ。
　中央のバネで、
フリップショット。
　右のバネで高速
前進スプリングチ
ャージ。","  Operate using the three springs in the cockpit.
  Left spring: Pull and release to do a Spring Punch.
  Centre spring: Flip Shot.
  Right spring: Does a high-speed Spring Charge.",114,176,16,,
RoboDesc.opb,0x2617,0x1 0x5e0,人形王,Mech King,-1,-1,16,,
RoboDesc.opb,0x261e,0x1 0x5e4,人形王,|Mech King,124,16,16,!,
RoboDesc.opb,0x2625,0x2 0x5f0 0x5f4,"　人形都市が生み
出した最強のオー
トマン。人間に匹
敵する知能を持ち、
すべてのオートマ
ンを率いる指揮官
的役割を持つ。
　戦闘能力もケタ
違い。","　The strongest Automan invented by the Mech City. With artificial intelligence to rival a human's, it takes it's position ruling over other Automen by issuing them commands.
　It's combat abilities are also on a whole new level.",114,176,16,,
