"File","Number","Offset","Japanese","English","Centering","References","width","height","lineheight"
"bvm_decmp/m/001/before.bvmc","0x1","0x9","ガロイ格納庫",,"0x0","0x3 0x6b 0x326 0x399 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x2","0x16","bkfire",,"0x0","0x1 0x73 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x3","0x1d","自分１",,"0x0","0x1 0x79 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x4","0x24","自注１",,"0x0","0x1 0x7b 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x5","0x2b","カメラ１",,"0x0","0x1 0x93 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x6","0x34","ケイ＿基本姿勢Ｌ",,"0x0","0x7 0xa1 0x10d 0x13d 0x23f 0x29c 0x35a 0x3a4 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x7","0x45","ケイ",,"0x0","0x29 0xa8 0xae 0xb4 0xba 0xc6 0xe8 0xef 0xfe 0x105 0x112 0x135 0x142 0x149 0x150 0x157 0x164 0x16b 0x17d 0x197 0x19e 0x1bc 0x1c3 0x1d3 0x230 0x237 0x244 0x26b 0x288 0x2a1 0x2a8 0x2af 0x2b6 0x2bd 0x2c4 0x2cb 0x2d2 0x352 0x35f 0x3ab 0x3b2 0x3c0 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x8","0x4a","よお、/p。","Hey, /p.","0x0","0x1 0xaa 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x7","0x45","ケイ",,"0x0","0x29 0xa8 0xae 0xb4 0xba 0xc6 0xe8 0xef 0xfe 0x105 0x112 0x135 0x142 0x149 0x150 0x157 0x164 0x16b 0x17d 0x197 0x19e 0x1bc 0x1c3 0x1d3 0x230 0x237 0x244 0x26b 0x288 0x2a1 0x2a8 0x2af 0x2b6 0x2bd 0x2c4 0x2cb 0x2d2 0x352 0x35f 0x3ab 0x3b2 0x3c0 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x9","0x55","ついに、この日が来たな。","At last, the day has come.","0x0","0x1 0xb0 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x7","0x45","ケイ",,"0x0","0x29 0xa8 0xae 0xb4 0xba 0xc6 0xe8 0xef 0xfe 0x105 0x112 0x135 0x142 0x149 0x150 0x157 0x164 0x16b 0x17d 0x197 0x19e 0x1bc 0x1c3 0x1d3 0x230 0x237 0x244 0x26b 0x288 0x2a1 0x2a8 0x2af 0x2b6 0x2bd 0x2c4 0x2cb 0x2d2 0x352 0x35f 0x3ab 0x3b2 0x3c0 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0xa","0x6e","今日は、/pが初めて
マリオネーションギアに乗る
日だ。","Today is the day you'll first pilot a Marionation Gear.","0x0","0x1 0xb6 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x7","0x45","ケイ",,"0x0","0x29 0xa8 0xae 0xb4 0xba 0xc6 0xe8 0xef 0xfe 0x105 0x112 0x135 0x142 0x149 0x150 0x157 0x164 0x16b 0x17d 0x197 0x19e 0x1bc 0x1c3 0x1d3 0x230 0x237 0x244 0x26b 0x288 0x2a1 0x2a8 0x2af 0x2b6 0x2bd 0x2c4 0x2cb 0x2d2 0x352 0x35f 0x3ab 0x3b2 0x3c0 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0xb","0xa5","心の準備はできてるか？","Are you mentally prepared?","0x0","0x1 0xbc 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0xc","0xbc","ケイ＿やれやれＬ",,"0x0","0x3 0xc1 0x15f 0x281 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x7","0x45","ケイ",,"0x0","0x29 0xa8 0xae 0xb4 0xba 0xc6 0xe8 0xef 0xfe 0x105 0x112 0x135 0x142 0x149 0x150 0x157 0x164 0x16b 0x17d 0x197 0x19e 0x1bc 0x1c3 0x1d3 0x230 0x237 0x244 0x26b 0x288 0x2a1 0x2a8 0x2af 0x2b6 0x2bd 0x2c4 0x2cb 0x2d2 0x352 0x35f 0x3ab 0x3b2 0x3c0 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0xd","0xcd","もしかしてビビってる？","Or maybe you're getting scared?","0x0","0x1 0xc8 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0xe","0xe4","うん","Yeah","0x0","0x1 0xd2 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0xf","0xe9","いや全然","Nope, not a bit","0x0","0x1 0xd4 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x10","0xf2","ケイ＿微笑み系Ｌ",,"0x0","0x5 0xe3 0xf9 0x1b7 0x229 0x264 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x7","0x45","ケイ",,"0x0","0x29 0xa8 0xae 0xb4 0xba 0xc6 0xe8 0xef 0xfe 0x105 0x112 0x135 0x142 0x149 0x150 0x157 0x164 0x16b 0x17d 0x197 0x19e 0x1bc 0x1c3 0x1d3 0x230 0x237 0x244 0x26b 0x288 0x2a1 0x2a8 0x2af 0x2b6 0x2bd 0x2c4 0x2cb 0x2d2 0x352 0x35f 0x3ab 0x3b2 0x3c0 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x11","0x103","ま、はじめてコクピットに
座るんだ。
無理もないよな。",,"0x0","0x0 0x1 0xea",196,42,14
"bvm_decmp/m/001/before.bvmc","0x7","0x45","ケイ",,"0x0","0x29 0xa8 0xae 0xb4 0xba 0xc6 0xe8 0xef 0xfe 0x105 0x112 0x135 0x142 0x149 0x150 0x157 0x164 0x16b 0x17d 0x197 0x19e 0x1bc 0x1c3 0x1d3 0x230 0x237 0x244 0x26b 0x288 0x2a1 0x2a8 0x2af 0x2b6 0x2bd 0x2c4 0x2cb 0x2d2 0x352 0x35f 0x3ab 0x3b2 0x3c0 0x0",196,42,14
"bvm_decmp/m/001/before.bvmc","0x12","0x13a","こっちの準備はできてるぜ。",,"0x0","0x0 0x1 0xf1",196,42,14
"bvm_decmp/m/001/before.bvmc","0x10","0xf2","ケイ＿微笑み系Ｌ",,"0x0","0x5 0xe3 0xf9 0x1b7 0x229 0x264 0x0",196,42,14
