File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/001/before2.bvmc,0x1,0x8,"ガロイ工房","",0x0,0x1 0x77 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0x2,0x13,"bkfire","",0x0,0x1 0x7f 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0x3,0x1a,"自分１","",0x0,0x1 0x85 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0x4,0x21,"自注１","",0x0,0x1 0x87 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0x5,0x28,"scrap","",0x0,0x1 0x99 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0x6,0x2e,"オブジェ１","",0x0,0x1 0x9b 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0x7,0x39,"オブジェ注","",0x0,0x1 0x9d 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0x8,0x44,"カメラ１","",0x0,0x1 0xa4 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0x9,0x4d,"ケイ＿にが笑いＬ","",0x0,0x2 0xb7 0xc5 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0xa,0x5e,"ケイ","",0x0,0x5 0xbe 0xca 0xd6 0xe2 0xef 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0xb,0x63,"外へ出たぜ。","",0x0,0x1 0xc0 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0x9,0x4d,"ケイ＿にが笑いＬ","",0x0,0x2 0xb7 0xc5 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0xa,0x5e,"ケイ","",0x0,0x5 0xbe 0xca 0xd6 0xe2 0xef 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0xc,0x70,"街中だから、気をつけて
操縦してくれよ。","",0x0,0x1 0xcc 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0xd,0x99,"ケイ＿基本姿勢Ｌ","",0x0,0x1 0xd1 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0xa,0x5e,"ケイ","",0x0,0x5 0xbe 0xca 0xd6 0xe2 0xef 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0xe,0xaa,"コクピットにある
レバーや歯車を動かすと、
ゴッドフリードが動く。","",0x0,0x1 0xd8 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0xf,0xed,"ケイ＿やれやれＬ","",0x0,0x1 0xdd 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0xa,0x5e,"ケイ","",0x0,0x5 0xbe 0xca 0xd6 0xe2 0xef 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0x10,0xfe,"まあ、旧型だからたいした
アクションはないけどな。
動くのがやっと、って感じだ。","",0x0,0x1 0xe4 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0x11,0x14f,"ケイ＿文句を言うＬ","",0x0,0x0 0x1 0xe9,196,42,14
bvm_decmp/m/001/before2.bvmc,0xa,0x5e,"ケイ","",0x0,0x5 0xbe 0xca 0xd6 0xe2 0xef 0x0,196,42,14
bvm_decmp/m/001/before2.bvmc,0x12,0x162,"おっと、親方の登場だ。","",0x0,0x0 0x1 0xf1,196,42,14
bvm_decmp/m/001/before2.bvmc,0x13,0x179,"ガロイ親方＿威圧","",0x0,0x0 0x1 0x113,196,42,14
bvm_decmp/m/001/before2.bvmc,0x14,0x18a,"ガロイ親方","",0x0,0x0 0x8 0x11b 0x123 0x144 0x14c 0x154 0x15c 0x164 0x16c,196,42,14
bvm_decmp/m/001/before2.bvmc,0x15,0x195,"いつまで遊んでる！","",0x0,0x0 0x1 0x11e,196,42,14
bvm_decmp/m/001/before2.bvmc,0x14,0x18a,"ガロイ親方","",0x0,0x0 0x8 0x11b 0x123 0x144 0x14c 0x154 0x15c 0x164 0x16c,196,42,14
bvm_decmp/m/001/before2.bvmc,0x16,0x1a8,"そろそろ仕事を始めるぞ！","",0x0,0x0 0x1 0x126,196,42,14
bvm_decmp/m/001/before2.bvmc,0x17,0x1c1,"カメラ２","",0x0,0x0 0x1 0x12f,196,42,14
bvm_decmp/m/001/before2.bvmc,0x18,0x1ca,"ガロイ親方＿戦闘中真剣","",0x0,0x0 0x1 0x13a,196,42,14
bvm_decmp/m/001/before2.bvmc,0x14,0x18a,"ガロイ親方","",0x0,0x0 0x8 0x11b 0x123 0x144 0x14c 0x154 0x15c 0x164 0x16c,196,42,14
bvm_decmp/m/001/before2.bvmc,0x19,0x1e1,"あの鉄クズを
工房まで持ち帰れ。","",0x0,0x0 0x1 0x147,196,42,14
