"File","Number","Offset","Japanese","English","Centering","References","width","height","lineheight"
"bvm_decmp/m/045/after.bvmc","0x1","0xa","武道会場",,"0x0","0x1 0x64 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0x2","0x13","自機",,"0x0","0x1 0x6d 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0x3","0x18","自注",,"0x0","0x1 0x6f 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0x4","0x1d","カメラ１",,"0x0","0x1 0x7b 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0x5","0x26","ガロイ親方＿ひとはだ脱ぐぜ！",,"0x0","0x1 0x94 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0x6","0x43","ガロイ親方",,"0x0","0x1 0x9b 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0x7","0x4e","本当にやりやがったな！","He really did it!","0x0","0x1 0x9d 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0x8","0x65","ケイ＿よっしゃーＬ",,"0x0","0x1 0xa2 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0x9","0x78","ケイ",,"0x0","0x2 0xa7 0xad 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0xa","0x7d","やった！","He won!","0x0","0x1 0xa9 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0x9","0x78","ケイ",,"0x0","0x2 0xa7 0xad 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0xb","0x86","さすがだぜ！！","That's our /p for you!","0x0","0x1 0xaf 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0xc","0x95","メリッサ＿笑って話す",,"0x0","0x1 0xb4 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0xd","0xaa","メリッサ",,"0x0","0x3 0xb9 0xbf 0xc5 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0xe","0xb3","本当に優勝するなんて！！","You really are a champion!","0x0","0x1 0xbb 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0xd","0xaa","メリッサ",,"0x0","0x3 0xb9 0xbf 0xc5 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0xf","0xcc","世界で一番の人形使いだって
証明したんだよ！","You proved that you're the number one Puppeteer in all the world!","0x0","0x1 0xc1 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0xd","0xaa","メリッサ",,"0x0","0x3 0xb9 0xbf 0xc5 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0x10","0xf9","すごいよ！","Absolutely incredible!","0x0","0x1 0xc7 0x0",196,42,14
"bvm_decmp/m/045/after.bvmc","0x11","0x104","リュー＿思案中",,"0x0","0x0 0x1 0xcc",196,42,14
"bvm_decmp/m/045/after.bvmc","0x12","0x113","リュー",,"0x0","0x0 0x3 0xd2 0xda 0xe9",196,42,14
"bvm_decmp/m/045/after.bvmc","0x13","0x11a","完敗だ……。","Utterly defeated...","0x0","0x0 0x1 0xd5",196,42,14
"bvm_decmp/m/045/after.bvmc","0x12","0x113","リュー",,"0x0","0x0 0x3 0xd2 0xda 0xe9",196,42,14
"bvm_decmp/m/045/after.bvmc","0x14","0x127","悔しすぎるぜ……。","How annoying...","0x0","0x0 0x1 0xdd",196,42,14
