File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/045/before.bvmc,0x1,0xa,"自機","",0x0,0x1 0x6e 0x0,196,42,14
bvm_decmp/m/045/before.bvmc,0x2,0xf,"自注","",0x0,0x1 0x70 0x0,196,42,14
bvm_decmp/m/045/before.bvmc,0x3,0x14,"caraxk","",0x0,0x1 0x78 0x0,196,42,14
bvm_decmp/m/045/before.bvmc,0x4,0x1b,"リュー機１","",0x0,0x1 0x7a 0x0,196,42,14
bvm_decmp/m/045/before.bvmc,0x5,0x26,"リュー機注１","",0x0,0x1 0x7c 0x0,196,42,14
bvm_decmp/m/045/before.bvmc,0x6,0x33,"武道会場","",0x0,0x2 0x91 0x97 0x0,196,42,14
bvm_decmp/m/045/before.bvmc,0x6,0x33,"武道会場","",0x0,0x2 0x91 0x97 0x0,196,42,14
bvm_decmp/m/045/before.bvmc,0x7,0x3c,"カメラ１","",0x0,0x3 0x9d 0xeb 0x10e 0x0,196,42,14
bvm_decmp/m/045/before.bvmc,0x8,0x45,"フィン・ディー＿司会（真剣）","",0x0,0x1 0xb5 0x0,196,42,14
bvm_decmp/m/045/before.bvmc,0x9,0x62,"フィン・ディー","",0x0,0xb 0xbc 0xc2 0xc8 0xce 0xd4 0xdb 0xe2 0x105 0x129 0x130 0x13c 0x0,196,42,14
bvm_decmp/m/045/before.bvmc,0xa,0x71,"いよいよ決勝戦。","",0x0,0x1 0xbe 0x0,196,42,14
bvm_decmp/m/045/before.bvmc,0x9,0x62,"フィン・ディー","",0x0,0xb 0xbc 0xc2 0xc8 0xce 0xd4 0xdb 0xe2 0x105 0x129 0x130 0x13c 0x0,196,42,14
bvm_decmp/m/045/before.bvmc,0xb,0x82,"皆様！","",0x0,0x1 0xc4 0x0,196,42,14
bvm_decmp/m/045/before.bvmc,0x9,0x62,"フィン・ディー","",0x0,0xb 0xbc 0xc2 0xc8 0xce 0xd4 0xdb 0xe2 0x105 0x129 0x130 0x13c 0x0,196,42,14
