File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/067/mission.bvmc,0x1,0x8,"é©ï™ÇP","",0x0,0x1 0x3a 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0x2,0xf,"é©íçÇP","",0x0,0x1 0x3c 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0x3,0x16,"busttank","",0x0,0x2 0x44 0x51 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0x4,0x1f,"ìGÇP","",0x0,0x1 0x46 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0x5,0x24,"ìGíçÇP","",0x0,0x1 0x48 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0x3,0x16,"busttank","",0x0,0x2 0x44 0x51 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0x6,0x2b,"ìGÇQ","",0x0,0x1 0x53 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0x7,0x30,"ìGíçÇQ","",0x0,0x1 0x55 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0x8,0x37,"äJénÉCÉxÉìÉgèIóπ","",0x0,0x1 0x6d 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0x9,0x48,"Func00184EDC","",0x0,0x1 0x73 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0xa,0x55,"ìGåÇîj","",0x0,0x1 0x92 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0xb,0x5c,"É~ÉbÉVÉáÉìê¨å˜","",0x0,0x1 0x98 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0x0,0x0,"Japan04","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0xc,0x6b,"self","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0xd,0x70,"enemy1","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0xe,0x77,"enemy2","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0xf,0x7e,"OnGameOver","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0x10,0x89,"main","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/067/mission.bvmc,0x11,0x8e,"Func00184EDC","",0x0,0x0 0x0,196,42,14
