File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/078/after.bvmc,0x1,0x8,"天神神社","",0x0,0x1 0x70 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x2,0x11,"カメラ１","",0x0,0x1 0x76 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x3,0x1a,"カオル＿微笑","",0x0,0x1 0x89 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x4,0x27,"カオル","",0x0,0x5 0x90 0x9c 0xd1 0xdd 0xe3 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x5,0x2e,"ありがとう～。","",0x0,0x1 0x92 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x6,0x3d,"カオル＿感謝","",0x0,0x1 0x97 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x4,0x27,"カオル","",0x0,0x5 0x90 0x9c 0xd1 0xdd 0xe3 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x7,0x4a,"お礼といっては、なんだけど、
あなたたちのために人形を
作ってあげる。","",0x0,0x1 0x9e 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x8,0x91,"ケイ＿「ギャー！」くらいのＬ","",0x0,0x1 0xa3 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x9,0xae,"ケイ","",0x0,0x3 0xa8 0xb9 0x114 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0xa,0xb3,"ええ！！","",0x0,0x1 0xaa 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x9,0xae,"ケイ","",0x0,0x3 0xa8 0xb9 0x114 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0xb,0xbc,"本当か！！","",0x1 0x2 0xbc 0xc1,0x1 0xbb 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0xc,0xc7,"カオル＿基本姿勢","",0x0,0x1 0xcc 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x4,0x27,"カオル","",0x0,0x5 0x90 0x9c 0xd1 0xdd 0xe3 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0xd,0xd8,"なんてね。","",0x0,0x1 0xd3 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0xe,0xe3,"カオル＿忍者のポーズ","",0x0,0x1 0xd8 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x4,0x27,"カオル","",0x0,0x5 0x90 0x9c 0xd1 0xdd 0xe3 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0xf,0xf8,"ウソよ。","",0x0,0x1 0xdf 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x4,0x27,"カオル","",0x0,0x5 0x90 0x9c 0xd1 0xdd 0xe3 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x10,0x101,"ドロン。","",0x1 0x2 0xe7 0xec,0x0 0x1 0xe5,196,42,14
bvm_decmp/m/078/after.bvmc,0x11,0x10a,"ケイ＿「え？」くらいの驚きＬ","",0x0,0x0 0x1 0x10c,196,42,14
bvm_decmp/m/078/after.bvmc,0x9,0xae,"ケイ","",0x0,0x3 0xa8 0xb9 0x114 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x12,0x127,"…………。","",0x1 0x2 0x118 0x11d,0x0 0x1 0x116,196,42,14
bvm_decmp/m/078/after.bvmc,0x13,0x132,"開始イベント終了","",0x0,0x0 0x1 0x136,196,42,14
bvm_decmp/m/078/after.bvmc,0x14,0x143,"Func00176C54","",0x0,0x0 0x1 0x13d,196,42,14
bvm_decmp/m/078/after.bvmc,0x15,0x150,"終了","",0x0,0x0 0x1 0x162,196,42,14
bvm_decmp/m/078/after.bvmc,0x0,0x0,"Japan02","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x16,0x155,"self","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x17,0x15a,"friend1","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x18,0x162,"OnGameOver","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x19,0x16d,"TxWid","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x1a,0x173,"TxHi","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x1b,0x178,"main","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/078/after.bvmc,0x1c,0x17d,"Func00176C54","",0x0,0x0 0x0,196,42,14
