"File","Number","Offset","Japanese","English","Centering","References","width","height","lineheight","English",
"bvm_decmp/m/078/before.bvmc","0x1","0x8","忍びの里＿町中",,"0x0","0x1 0x77 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x2","0x17","busttank",,"0x0","0x1 0x7f 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x3","0x20","開始イベント終",,"0x0","0x1 0x82 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x4","0x2f","Func001987A4",,"0x0","0x1 0x88 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x5","0x3c","正常終了",,"0x0","0x1 0xaa 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x6","0x45","イベント２開始",,"0x0","0x1 0xcc 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x7","0x54","カメラ４",,"0x0","0x1 0xcf 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x8","0x5d","カオル＿呆然とする",,"0x0","0x2 0xe0 0x10a 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x9","0x70","カオル",,"0x0","0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0xa","0x77","ああ！","AHH!","0x1 0x2 0xee 0xf3","0x1 0xed 0x0",196,42,14,"Ah!",
"bvm_decmp/m/078/before.bvmc","0xb","0x7e","ケイ＿戦闘中険しい",,"0x0","0x1 0xfe 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0xc","0x91","ケイ",,"0x0","0xb 0x103 0x12e 0x176 0x2e3 0x314 0x358 0x374 0x3c3 0x402 0x410 0x42c 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0xd","0x96","ナイトシェイド！
まだあきらめてなかったんだ！","Nightshade! They haven't given up yet!","0x0","0x1 0x105 0x0",196,42,14,"Nightshade! They haven't given up yet!",
"bvm_decmp/m/078/before.bvmc","0x8","0x5d","カオル＿呆然とする",,"0x0","0x2 0xe0 0x10a 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x9","0x70","カオル",,"0x0","0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0xe","0xc5","里を守って………。","Please protect the village!...","0x0","0x1 0x111 0x0",196,42,14,"Protect the village...",
"bvm_decmp/m/078/before.bvmc","0x9","0x70","カオル",,"0x0","0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0xf","0xd8","……いえ……あの……","...No...um...","0x0","0x1 0x117 0x0",196,42,14,"...No...um...",
"bvm_decmp/m/078/before.bvmc","0x10","0xed","カオル＿驚き",,"0x0","0x2 0x11c 0x142 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x9","0x70","カオル",,"0x0","0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x11","0xfa","この神社を守って！！","Please protect this shrine!!","0x0","0x1 0x123 0x0",196,42,14,"Please protect this shrine!!",
"bvm_decmp/m/078/before.bvmc","0x12","0x10f","ケイ＿「え？」くらいの驚きＬ",,"0x0","0x0 0x1 0x128",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0xc","0x91","ケイ",,"0x0","0xb 0x103 0x12e 0x176 0x2e3 0x314 0x358 0x374 0x3c3 0x402 0x410 0x42c 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x13","0x12c","ええ！？","Huh!?","0x1 0x2 0x132 0x137","0x0 0x1 0x130",196,42,14,"Huuh!?",
"bvm_decmp/m/078/before.bvmc","0x10","0xed","カオル＿驚き",,"0x0","0x2 0x11c 0x142 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x9","0x70","カオル",,"0x0","0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x14","0x135","ここを守って欲しいの！","I want you to protect the shrine!","0x0","0x0 0x1 0x149",196,42,14,"I want you to protect the shrine!",
"bvm_decmp/m/078/before.bvmc","0x9","0x70","カオル",,"0x0","0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x15","0x14c","もし、ここが壊れたら、
住むところがなくなっちゃうし。","If it gets destroyed, I'll have nowhere to live.","0x0","0x0 0x1 0x150",196,42,14,"If it gets destroyed, I'll have nowhere to live.",
"bvm_decmp/m/078/before.bvmc","0x9","0x70","カオル",,"0x0","0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x16","0x183","私みたいな、レディーが
野宿なんてことになったら、
悲惨じゃない。","It'd just be too pitiful for a proper lady like me to end up sleeping on the streets!","0x0","0x0 0x1 0x157",196,42,14,"If a lady like me ends up ends up sleeping on the streets, it'd just be too pitiful.",
"bvm_decmp/m/078/before.bvmc","0x9","0x70","カオル",,"0x0","0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x17","0x1c6","お願い！","Please help!","0x1 0x2 0x160 0x165","0x0 0x1 0x15e",196,42,14,"Please help!",
"bvm_decmp/m/078/before.bvmc","0x18","0x1cf","ケイ＿微笑み系Ｌ",,"0x0","0x0 0x2 0x170 0x40a",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0xc","0x91","ケイ",,"0x0","0xb 0x103 0x12e 0x176 0x2e3 0x314 0x358 0x374 0x3c3 0x402 0x410 0x42c 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x19","0x1e0","…………。","............","0x2 0x2 0x17a 0x17f 0x2 0x378 0x37d","0x0 0x2 0x178 0x376",196,42,14,"…",
"bvm_decmp/m/078/before.bvmc","0x1a","0x1eb","イベント２終",,"0x0","0x0 0x1 0x198",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x1b","0x1f8","Func0017EBC4",,"0x0","0x0 0x1 0x19f",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x1c","0x205","バスタータンク１",,"0x0","0x0 0x1 0x1c1",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x1d","0x216","バスタータンク１注",,"0x0","0x0 0x1 0x1c4",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x1e","0x229","バスタータンク２",,"0x0","0x0 0x1 0x1d0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x1f","0x23a","バスタータンク２注",,"0x0","0x0 0x1 0x1d3",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x20","0x24d","バスタータンク３",,"0x0","0x0 0x1 0x1df",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x21","0x25e","バスタータンク３注",,"0x0","0x0 0x1 0x1e2",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x22","0x271","タンクルート１",,"0x0","0x0 0x1 0x1ec",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x23","0x280","終点",,"0x0","0x0 0x3 0x1ef 0x209 0x223",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x24","0x285","タンクルート２",,"0x0","0x0 0x1 0x206",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x23","0x280","終点",,"0x0","0x0 0x3 0x1ef 0x209 0x223",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x25","0x294","タンクルート３",,"0x0","0x0 0x1 0x220",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x23","0x280","終点",,"0x0","0x0 0x3 0x1ef 0x209 0x223",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x26","0x2a3","カメラ３",,"0x0","0x0 0x1 0x238",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x27","0x2ac","タンクパス",,"0x0","0x0 0x1 0x254",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x28","0x2b7","Func0017ECB4",,"0x0","0x0 0x1 0x291",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x29","0x2c4","カメラ１",,"0x0","0x0 0x1 0x2b0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x2a","0x2cd","カオル＿基本姿勢",,"0x0","0x0 0x4 0x2c4 0x2f7 0x328 0x3cb",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x9","0x70","カオル",,"0x0","0x16 0xeb 0x10f 0x115 0x121 0x147 0x14e 0x155 0x15c 0x2cc 0x2fd 0x32e 0x33c 0x343 0x34a 0x366 0x36d 0x3b5 0x3d1 0x3df 0x3e6 0x3f4 0x41e 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x2b","0x2de","あの。もしもし～。","Um...Hiya~!","0x0","0x0 0x1 0x2ce",196,42,14,"Um, hiya~",
"bvm_decmp/m/078/before.bvmc","0x2c","0x2f1","ケイ＿基本姿勢Ｌ",,"0x0","0x0 0x3 0x2d5 0x306 0x352",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x2d","0x302","主人公＿冷静な顔",,"0x0","0x0 0x1 0x2dd",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0xc","0x91","ケイ",,"0x0","0xb 0x103 0x12e 0x176 0x2e3 0x314 0x358 0x374 0x3c3 0x402 0x410 0x42c 0x0",196,42,14,,
"bvm_decmp/m/078/before.bvmc","0x2e","0x313","？？","??","0x1 0x2 0x2e7 0x2ec","0x0 0x1 0x2e5",196,42,14,"??",
"bvm_decmp/m/078/before.bvmc","0x2a","0x2cd","カオル＿基本姿勢",,"0x0","0x0 0x4 0x2c4 0x2f7 0x328 0x3cb",196,42,14,,
