"File","Number","Offset","Japanese","English","Centering","References","width","height","lineheight","English"
"bvm_decmp/m/083/after.bvmc","0x1","0x8","カフェ",,"0x0","0x1 0x35 0x0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x2","0xf","カメラ１",,"0x0","0x1 0x3b 0x0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x3","0x18","ミオ＿喜ぶ",,"0x0","0x1 0x51 0x0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x4","0x23","ミオ",,"0x0","0x4 0x5c 0x68 0x6e 0x7a 0x0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x5","0x28","ありがとう。","Thank you!","0x0","0x1 0x5e 0x0",196,42,14,"Thank you."
"bvm_decmp/m/083/after.bvmc","0x6","0x35","ミオ＿御注文どうぞ",,"0x0","0x1 0x63 0x0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x4","0x23","ミオ",,"0x0","0x4 0x5c 0x68 0x6e 0x7a 0x0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x7","0x48","さて、お店を手伝わなきゃ。","Now then, I have to get back to helping out at the store.","0x0","0x1 0x6a 0x0",196,42,14,"Now then, I have to get back to helping out at the store."
"bvm_decmp/m/083/after.bvmc","0x4","0x23","ミオ",,"0x0","0x4 0x5c 0x68 0x6e 0x7a 0x0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x8","0x63","今度こそ、お客さんも
いっぱい来ると思うし。","I think a lot of customers will come this time!","0x0","0x1 0x70 0x0",196,42,14,"This time, I think that a lot of customers will come."
"bvm_decmp/m/083/after.bvmc","0x9","0x90","ミオ＿照れる",,"0x0","0x1 0x75 0x0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x4","0x23","ミオ",,"0x0","0x4 0x5c 0x68 0x6e 0x7a 0x0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0xa","0x9d","本当にありがとう。","Thank you so much.","0x0","0x1 0x7c 0x0",196,42,14,"Thank you so much."
"bvm_decmp/m/083/after.bvmc","0xb","0xb0","ケイ＿にが笑いＬ",,"0x0","0x1 0x92 0x0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0xc","0xc1","ケイ",,"0x0","0x2 0x99 0x9f 0x0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0xd","0xc6","偶然なんだけどな。","It was just a coincidence.","0x0","0x1 0x9b 0x0",196,42,14,"It was just a coincidence."
"bvm_decmp/m/083/after.bvmc","0xc","0xc1","ケイ",,"0x0","0x2 0x99 0x9f 0x0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0xe","0xd9","オートマンが暴れて、
たまたまザ・バーガーが
壊れただけなんだけど。","With the Automen on a rampage, it juuust so happened that {The Burger} got accidentally destroyed.","0x0","0x1 0xa1 0x0",196,42,14,"With the Automen on a rampage, it just so happens that {The Burger} stores were accidentally destroyed."
"bvm_decmp/m/083/after.bvmc","0xf","0x11e","アンマリー＿拗ねる",,"0x0","0x0 0x1 0xa7",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x10","0x131","アンマリー",,"0x0","0x0 0x1 0xad",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x11","0x13c","…………。","............","0x0","0x0 0x1 0xb0",196,42,14,"…"
"bvm_decmp/m/083/after.bvmc","0x12","0x147","開始イベント終了",,"0x0","0x0 0x1 0xc4",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x13","0x158","Func00184EDC",,"0x0","0x0 0x1 0xcb",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x14","0x165","終了",,"0x0","0x0 0x1 0xf0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x0","0x0","Japan03",,"0x0","0x0 0x0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x15","0x16a","OnGameOver",,"0x0","0x0 0x0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x16","0x175","main",,"0x0","0x0 0x0",196,42,14,
"bvm_decmp/m/083/after.bvmc","0x17","0x17a","Func00184EDC",,"0x0","0x0 0x0",196,42,14,
