"File","Number","Offset","Japanese","English","Centering","References","width","height","lineheight","English"
"bvm_decmp/m/111/before2.bvmc","0x1","0xb","コックピット",,"0x0","0x2 0x6b 0x165 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0x2","0x18","swdgunk",,"0x0","0x1 0x72 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0x3","0x20","kilgun",,"0x0","0x1 0x77 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0x4","0x27","marikil",,"0x0","0x1 0x7c 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0x5","0x2f","bigfacen",,"0x0","0x1 0x81 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0x6","0x38","開始イベント終",,"0x0","0x1 0x89 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0x7","0x47","Func0018E654",,"0x0","0x1 0x8f 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0x8","0x54","成功",,"0x0","0x1 0xae 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0x9","0x59","終了",,"0x0","0x1 0xb4 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0xa","0x5e","キラーガンナー１",,"0x0","0x2 0xe6 0x1da 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0xb","0x6f","敵注",,"0x0","0xa 0xe8 0xf1 0xfa 0x103 0x1dc 0x1e9 0x1f7 0x205 0x212 0x21f 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0xc","0x74","キラーガンナー２",,"0x0","0x2 0xef 0x1e7 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0xb","0x6f","敵注",,"0x0","0xa 0xe8 0xf1 0xfa 0x103 0x1dc 0x1e9 0x1f7 0x205 0x212 0x21f 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0xd","0x85","フェイス大１",,"0x0","0x2 0xf8 0x210 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0xb","0x6f","敵注",,"0x0","0xa 0xe8 0xf1 0xfa 0x103 0x1dc 0x1e9 0x1f7 0x205 0x212 0x21f 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0xe","0x92","フェイス大２",,"0x0","0x2 0x101 0x21d 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0xb","0x6f","敵注",,"0x0","0xa 0xe8 0xf1 0xfa 0x103 0x1dc 0x1e9 0x1f7 0x205 0x212 0x21f 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0xf","0x9f","アンマリー機",,"0x0","0x1 0x10b 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0x10","0xac","アンマリー機注",,"0x0","0x1 0x10d 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0x11","0xbb","カメラ２",,"0x0","0x1 0x122 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0x12","0xc4","アンマリールート",,"0x0","0x1 0x134 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0x13","0xd5","終点",,"0x0","0x7 0x136 0x241 0x25a 0x273 0x28c 0x2a5 0x2be 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0x14","0xda","カメラ３",,"0x0","0x1 0x156 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0x15","0xe3","アンマリー＿操縦ニヤリ",,"0x0","0x1 0x160 0x0",196,42,14,
"bvm_decmp/m/111/before2.bvmc","0x1","0xb","コックピット",,"0x0","0x2 0x6b 0x165 0x0",196,42,14,
