File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/111/mission2.bvmc,0x1,0xb,"自機","",0x0,0x1 0x3a 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0x2,0x10,"自注","",0x0,0x1 0x3c 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0x3,0x15,"swdgunk","",0x0,0x1 0x44 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0x4,0x1d,"アンマリー機","",0x0,0x1 0x46 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0x5,0x2a,"アンマリー機注","",0x0,0x1 0x48 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0x6,0x39,"kilgun","",0x0,0x1 0x51 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0x7,0x40,"marikil","",0x0,0x1 0x56 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0x8,0x48,"bigfacen","",0x0,0x1 0x5b 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0x9,0x51,"キラーガンナー１","",0x0,0x1 0x62 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0xa,0x62,"敵注","",0x0,0x6 0x64 0x71 0x7e 0x8b 0x175 0x1b4 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0xb,0x67,"キラー１","",0x0,0x1 0x6f 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0xa,0x62,"敵注","",0x0,0x6 0x64 0x71 0x7e 0x8b 0x175 0x1b4 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0xc,0x70,"フェイス大１","",0x0,0x1 0x7c 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0xa,0x62,"敵注","",0x0,0x6 0x64 0x71 0x7e 0x8b 0x175 0x1b4 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0xd,0x7d,"フェイス大２","",0x0,0x1 0x89 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0xa,0x62,"敵注","",0x0,0x6 0x64 0x71 0x7e 0x8b 0x175 0x1b4 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0xe,0x8a,"開始イベント終了","",0x0,0x1 0xe2 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0xf,0x9b,"Func0018A7AC","",0x0,0x1 0xe8 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0x10,0xa8,"Func00187E74","",0x0,0x1 0xfa 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0x11,0xb5,"Func0018A89C","",0x0,0x1 0x109 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0x12,0xc2,"敵全滅","",0x0,0x1 0x12c 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0x13,0xc9,"終了","",0x0,0x1 0x132 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0x14,0xce,"キラーガンナー２","",0x0,0x1 0x173 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0xa,0x62,"敵注","",0x0,0x6 0x64 0x71 0x7e 0x8b 0x175 0x1b4 0x0,196,42,14
bvm_decmp/m/111/mission2.bvmc,0x15,0xdf,"キラー２","",0x0,0x1 0x1b2 0x0,196,42,14
