File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/pathtest2/mission.bvmc,0x1,0x9,"é©ï™","",0x0,0x2 0x44 0x52 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x2,0xe,"ìG","",0x0,0x2 0x46 0x50 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x3,0x11,"DUMP","",0x0,0x1 0x4e 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x2,0xe,"ìG","",0x0,0x2 0x46 0x50 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x1,0x9,"é©ï™","",0x0,0x2 0x44 0x52 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x4,0x16,"count0","",0x0,0x1 0x71 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x5,0x1d,"count1","",0x0,0x1 0x73 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x6,0x24,"count2","",0x0,0x1 0x75 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x7,0x2b,"Func0017B72C","",0x0,0x1 0x7d 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x8,0x38,"Func0017B81C","",0x0,0x1 0x8a 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x9,0x45,"Func0017B8BC","",0x0,0x2 0x9f 0x172 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0xa,0x52,"Func0017B9AC","",0x0,0x1 0xa9 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0xb,0x5f,"å≥","",0x0,0x1 0xb3 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0xc,0x62,"èIóπ","",0x0,0x1 0xcf 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0xd,0x67,"Func0017B934","",0x0,0x1 0x12a 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x9,0x45,"Func0017B8BC","",0x0,0x2 0x9f 0x172 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0xe,0x74,"Ç∑Ç◊ÇƒäOÇ…Ç¢Ç´Ç‹ÇµÇΩÅB","",0x0,0x1 0x196 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x0,0x0,"France01","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0xf,0x8b,"self","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x10,0x90,"enemy","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x11,0x96,"count0","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x12,0x9d,"count1","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x13,0xa4,"count2","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x14,0xab,"OnGameOver","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x15,0xb6,"main","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x16,0xbb,"Func0017B72C","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x17,0xc8,"Func0017B81C","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x18,0xd5,"Func0017B8BC","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x19,0xe2,"Func0017B934","",0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest2/mission.bvmc,0x1a,0xef,"Func0017B9AC","",0x0,0x0 0x0,196,42,14
