File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/main/game_seq.bvm,0x1,0x13,"GameTitle","",0x0,0x1 0x4e 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x2,0x1d,"NameInput","",0x0,0x1 0x5a 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x3,0x27,"Load","",0x0,0x2 0x6a 0x88 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x3,0x27,"Load","",0x0,0x2 0x6a 0x88 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x4,0x2c,"MissionSelect","",0x0,0x1 0xc7 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x5,0x3a,"GalouyeBottega","",0x0,0x1 0xdd 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x6,0x49,"NetworkCenter","",0x0,0x1 0xea 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x7,0x57,"PartsShop","",0x0,0x1 0xf7 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x8,0x61,"Museum","",0x0,0x1 0x107 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x9,0x68,"MariGearShop","",0x0,0xa 0x112 0x122 0x133 0x144 0x156 0x168 0x17a 0x18c 0x19e 0x1b0 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x9,0x68,"MariGearShop","",0x0,0xa 0x112 0x122 0x133 0x144 0x156 0x168 0x17a 0x18c 0x19e 0x1b0 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x9,0x68,"MariGearShop","",0x0,0xa 0x112 0x122 0x133 0x144 0x156 0x168 0x17a 0x18c 0x19e 0x1b0 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x9,0x68,"MariGearShop","",0x0,0xa 0x112 0x122 0x133 0x144 0x156 0x168 0x17a 0x18c 0x19e 0x1b0 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x9,0x68,"MariGearShop","",0x0,0xa 0x112 0x122 0x133 0x144 0x156 0x168 0x17a 0x18c 0x19e 0x1b0 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x9,0x68,"MariGearShop","",0x0,0xa 0x112 0x122 0x133 0x144 0x156 0x168 0x17a 0x18c 0x19e 0x1b0 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x9,0x68,"MariGearShop","",0x0,0xa 0x112 0x122 0x133 0x144 0x156 0x168 0x17a 0x18c 0x19e 0x1b0 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x9,0x68,"MariGearShop","",0x0,0xa 0x112 0x122 0x133 0x144 0x156 0x168 0x17a 0x18c 0x19e 0x1b0 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x9,0x68,"MariGearShop","",0x0,0xa 0x112 0x122 0x133 0x144 0x156 0x168 0x17a 0x18c 0x19e 0x1b0 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x9,0x68,"MariGearShop","",0x0,0xa 0x112 0x122 0x133 0x144 0x156 0x168 0x17a 0x18c 0x19e 0x1b0 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0xa,0x75,"/m/S_AC/before.bvmc","",0x0,0x1 0x1de 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0xb,0x89,"/m/S_ME/before.bvmc","",0x0,0x1 0x1e8 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0xc,0x9d,"‚¨‚©‚µ‚¢ MissionLoop A","",0x0,0x1 0x31e 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0xd,0xb4,"‚¨‚©‚µ‚¢ MissionLoop B","",0x0,0x1 0x378 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0xe,0xcb,"Mission","",0x0,0x1 0x3bf 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0xf,0xd3,"Telop","",0x0,0x6 0x3f0 0x428 0x453 0x46f 0x4ae 0x4d3 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0xf,0xd3,"Telop","",0x0,0x6 0x3f0 0x428 0x453 0x46f 0x4ae 0x4d3 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x0,0x0,"/m/600/before.bvmc","",0x0,0x1 0x444 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0xf,0xd3,"Telop","",0x0,0x6 0x3f0 0x428 0x453 0x46f 0x4ae 0x4d3 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0xf,0xd3,"Telop","",0x0,0x6 0x3f0 0x428 0x453 0x46f 0x4ae 0x4d3 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x10,0xd9,"StaffRoll","",0x0,0x1 0x497 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0xf,0xd3,"Telop","",0x0,0x6 0x3f0 0x428 0x453 0x46f 0x4ae 0x4d3 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0xf,0xd3,"Telop","",0x0,0x6 0x3f0 0x428 0x453 0x46f 0x4ae 0x4d3 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x11,0xe3,"A","",0x0,0x0 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x12,0xe5,"B","",0x0,0x0 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x13,0xe7,"MainNormal","",0x0,0x0 0x0,196,42,14
bvm_decmp/main/game_seq.bvm,0x14,0xf2,"MainMissionLoop","",0x0,0x0 0x0,196,42,14
