File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/map/Iseki01.bvmc,0x1,0xc,"神殿ピラミッド","",0x0,0x1 0x55 0x0,196,42,14
bvm_decmp/map/Iseki01.bvmc,0x2,0x1b,"神殿ピラミッドの向き","",0x0,0x1 0x57 0x0,196,42,14
bvm_decmp/map/Iseki01.bvmc,0x3,0x30,"ise_monu","",0x0,0x1 0x61 0x0,196,42,14
bvm_decmp/map/Iseki01.bvmc,0x4,0x39,"石の塔","",0x0,0x1 0x63 0x0,196,42,14
bvm_decmp/map/Iseki01.bvmc,0x5,0x40,"石の塔の向き","",0x0,0x1 0x65 0x0,196,42,14
bvm_decmp/map/Iseki01.bvmc,0x6,0x4d,"ise_templeA","",0x0,0x1 0x6f 0x0,196,42,14
bvm_decmp/map/Iseki01.bvmc,0x7,0x59,"祭壇","",0x0,0x1 0x71 0x0,196,42,14
bvm_decmp/map/Iseki01.bvmc,0x8,0x5e,"祭壇の向き","",0x0,0x1 0x73 0x0,196,42,14
bvm_decmp/map/Iseki01.bvmc,0x0,0x0,"ise_templeE","",0x0,0x0 0x0,196,42,14
bvm_decmp/map/Iseki01.bvmc,0x9,0x69,"Initialize","",0x0,0x0 0x0,196,42,14
