File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/map/sabaku01.bvmc,0x1,0xa,"ピラミッド大","",0x0,0x1 0x55 0x0,196,42,14
bvm_decmp/map/sabaku01.bvmc,0x2,0x17,"ピラミッド大の向き","",0x0,0x1 0x57 0x0,196,42,14
bvm_decmp/map/sabaku01.bvmc,0x3,0x2a,"sab_pylaB","",0x0,0x1 0x61 0x0,196,42,14
bvm_decmp/map/sabaku01.bvmc,0x4,0x34,"ピラミッド中","",0x0,0x1 0x63 0x0,196,42,14
bvm_decmp/map/sabaku01.bvmc,0x5,0x41,"ピラミッド中の向き","",0x0,0x1 0x65 0x0,196,42,14
bvm_decmp/map/sabaku01.bvmc,0x6,0x54,"sab_pylaC","",0x0,0x1 0x6f 0x0,196,42,14
bvm_decmp/map/sabaku01.bvmc,0x7,0x5e,"ピラミッド小","",0x0,0x1 0x71 0x0,196,42,14
bvm_decmp/map/sabaku01.bvmc,0x8,0x6b,"ピラミッド小の向き","",0x0,0x1 0x73 0x0,196,42,14
bvm_decmp/map/sabaku01.bvmc,0x0,0x0,"sab_pylaA","",0x0,0x0 0x0,196,42,14
bvm_decmp/map/sabaku01.bvmc,0x9,0x7e,"Initialize","",0x0,0x0 0x0,196,42,14
