File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/033/mission.bvmc,0x0,0x0,"Highway05",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x1,0xa,"自機",,0x0,0x1 0x3d 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x2,0xf,"自注",,0x0,0x1 0x3f 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x3,0x14,"automan",,0x0,0x1 0x48 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x4,0x1c,"オートマン１",,0x0,0x1 0x4e 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x5,0x29,"オートマン注１",,0x0,0x1 0x50 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x6,0x38,"オートマン２",,0x0,0x1 0x5b 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x7,0x45,"オートマン注２",,0x0,0x1 0x5d 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x8,0x54,"オートマン３",,0x0,0x1 0x68 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x9,0x61,"オートマン注３",,0x0,0x1 0x6a 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0xa,0x70,"開始イベント終了",,0x0,0x1 0x89 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0xb,0x81,"Func0017CB6C",,0x0,0x1 0x8f 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0xc,0x8e,"Func0017CC0C",,0x0,0x2 0x9c 0x1b1 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0xd,0x9b,"敵破壊",,0x0,0x1 0xbc 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0xe,0xa2,"終了",,0x0,0x1 0xc2 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0xf,0xa7,"増援１",,0x0,0x2 0xe4 0xf3 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x10,0xae,"１に出現",,0x0,0x1 0xec 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x11,0xb7,"増援注１",,0x0,0x2 0xf5 0x121 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x12,0xc0,"増援２",,0x0,0x1 0x100 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x13,0xc7,"増援注２",,0x0,0x2 0x102 0x12e 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x14,0xd0,"増援３",,0x0,0x1 0x10d 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x15,0xd7,"増援注３",,0x0,0x2 0x10f 0x13c 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x16,0xe0,"1＿２に出現",,0x0,0x1 0x118 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x17,0xec,"増援１＿２",,0x0,0x1 0x11f 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x18,0xf7,"増援２＿２",,0x0,0x1 0x12c 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x19,0x102,"増援３＿２",,0x0,0x0 0x1 0x139,196,42,14
bvm_decmp/m/033/mission.bvmc,0x1a,0x10d,"Func0017CA7C",,0x0,0x0 0x1 0x155,196,42,14
bvm_decmp/m/033/mission.bvmc,0x1b,0x11a,"自機エリア外",,0x0,0x0 0x1 0x177,196,42,14
bvm_decmp/m/033/mission.bvmc,0x1c,0x127,"Func0017CC84",,0x0,0x0 0x1 0x182,196,42,14
bvm_decmp/m/033/mission.bvmc,0x1d,0x134,"エリア１",,0x0,0x0 0x2 0x18e 0x1bc,196,42,14
bvm_decmp/m/033/mission.bvmc,0x1e,0x13d,"自機エリア内",,0x0,0x0 0x1 0x1a6,196,42,14
bvm_decmp/m/033/mission.bvmc,0x1f,0x14a,"self",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x20,0x14f,"enemy1",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x21,0x156,"enemy2",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x22,0x15d,"enemy3",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x23,0x164,"enemy4",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x24,0x16b,"enemy5",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x25,0x172,"enemy6",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x26,0x179,"enName1",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x27,0x181,"self_area_flg",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x28,0x18f,"OnGameOver",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x29,0x19a,"main",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x2a,0x19f,"Func0017CA7C",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x2b,0x1ac,"Func0017CB6C",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x2c,0x1b9,"Func0017CC0C",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/033/mission.bvmc,0x2d,0x1c6,"Func0017CC84",,0x0,0x0 0x0,196,42,14
