File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/060/before.bvmc,0x0,0x0,"開始",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x1,0x5,"Japan03",,0x0,0x1 0x6b 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x2,0xd,"Heigen05",,0x0,0x1 0x70 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x3,0x16,"Japan02",,0x0,0x1 0x75 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x4,0x1e,"carboomk",,0x0,0x1 0x90 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x5,0x27,"automan",,0x0,0x1 0x95 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x6,0x2f,"bgtotem",,0x0,0x1 0x9a 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x7,0x37,"自機１",,0x0,0x1 0xa1 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x8,0x3e,"自注１",,0x0,0x1 0xa3 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x9,0x45,"エリー機１",,0x0,0x1 0xc3 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0xa,0x50,"エリー機注１",,0x0,0x1 0xc5 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0xb,0x5d,"開始イベント終了",,0x0,0x1 0xdd 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0xc,0x6e,"Func00174FDC",,0x0,0x1 0xe3 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0xd,0x7b,"終了",,0x0,0x1 0x107 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0xe,0x80,"自機３＿２",,0x0,0x1 0x12b 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0xf,0x8b,"自注３＿２",,0x0,0x1 0x12d 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x10,0x96,"エリー機３＿２",,0x0,0x1 0x134 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x11,0xa5,"エリー機注３＿２",,0x0,0x1 0x136 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x12,0xb6,"カメラ３＿４",,0x0,0x1 0x13b 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x13,0xc3,"コックピット",,0x0,0x1 0x14d 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x14,0xd0,"エリー＿操縦険しい",,0x0,0x1 0x154 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x15,0xe3,"エリー",,0x0,0xc 0x15d 0x163 0x2e3 0x2ea 0x2f8 0x303 0x316 0x31d 0x689 0x690 0x6a7 0x6d1 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x16,0xea,"時間内にトーテムを
たくさん破壊した方の勝ち。
オートマンは無視です。",,0x0,0x1 0x15f 0x0,196,42,14
bvm_decmp/m/060/before.bvmc,0x17,0x131,"いきます。",,0x0,0x0 0x1 0x165,196,42,14
bvm_decmp/m/060/before.bvmc,0x18,0x13c,"Func00174CE4",,0x0,0x0 0x1 0x17c,196,42,14
bvm_decmp/m/060/before.bvmc,0x19,0x149,"オートマン１",,0x0,0x0 0x1 0x1a7,196,42,14
bvm_decmp/m/060/before.bvmc,0x1a,0x156,"オートマン注１",,0x0,0x0 0x1 0x1aa,196,42,14
bvm_decmp/m/060/before.bvmc,0x1b,0x165,"オートマン２",,0x0,0x0 0x1 0x1b6,196,42,14
bvm_decmp/m/060/before.bvmc,0x1c,0x172,"オートマン注２",,0x0,0x0 0x1 0x1b9,196,42,14
bvm_decmp/m/060/before.bvmc,0x1d,0x181,"トーテム１",,0x0,0x0 0x1 0x1c4,196,42,14
bvm_decmp/m/060/before.bvmc,0x1e,0x18c,"トーテム注",,0x0,0x0 0xd 0x1c7 0x1d5 0x1e4 0x1f3 0x202 0x211 0x220 0x22f 0x23e 0x24d 0x25c 0x26b 0x27a,196,42,14
bvm_decmp/m/060/before.bvmc,0x1f,0x197,"トーテム２",,0x0,0x0 0x1 0x1d2,196,42,14
bvm_decmp/m/060/before.bvmc,0x20,0x1a2,"トーテム３",,0x0,0x0 0x1 0x1e1,196,42,14
bvm_decmp/m/060/before.bvmc,0x21,0x1ad,"トーテム４",,0x0,0x0 0x1 0x1f0,196,42,14
bvm_decmp/m/060/before.bvmc,0x22,0x1b8,"トーテム５",,0x0,0x0 0x1 0x1ff,196,42,14
bvm_decmp/m/060/before.bvmc,0x23,0x1c3,"トーテム６",,0x0,0x0 0x1 0x20e,196,42,14
bvm_decmp/m/060/before.bvmc,0x24,0x1ce,"トーテム７",,0x0,0x0 0x1 0x21d,196,42,14
bvm_decmp/m/060/before.bvmc,0x25,0x1d9,"トーテム８",,0x0,0x0 0x1 0x22c,196,42,14
bvm_decmp/m/060/before.bvmc,0x26,0x1e4,"トーテム９",,0x0,0x0 0x1 0x23b,196,42,14
bvm_decmp/m/060/before.bvmc,0x27,0x1ef,"トーテム１０",,0x0,0x0 0x4 0x24a 0x259 0x268 0x277,196,42,14
bvm_decmp/m/060/before.bvmc,0x28,0x1fc,"カメラ３＿３",,0x0,0x0 0x1 0x282,196,42,14
bvm_decmp/m/060/before.bvmc,0x29,0x209,"オートマンパス１",,0x0,0x0 0x1 0x28e,196,42,14
bvm_decmp/m/060/before.bvmc,0x2a,0x21a,"オートマンパス２",,0x0,0x0 0x1 0x296,196,42,14
bvm_decmp/m/060/before.bvmc,0x2b,0x22b,"忍びの里＿町中",,0x0,0x0 0x1 0x2cf,196,42,14
bvm_decmp/m/060/before.bvmc,0x2c,0x23a,"エリー＿発見",,0x0,0x0 0x1 0x2d7,196,42,14
bvm_decmp/m/060/before.bvmc,0x2d,0x247,"オートマンのトーテム！",,0x0,0x0 0x1 0x2e5,196,42,14
