File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/111/before3.bvmc,0x0,0x0,"Fortress01",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x1,0xb,"自機",,0x0,0x1 0x7b 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x2,0x10,"自注",,0x0,0x1 0x7d 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x3,0x15,"swdgunk",,0x0,0x1 0x85 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x4,0x1d,"アンマリー機",,0x0,0x1 0x87 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x5,0x2a,"アンマリー機注",,0x0,0x1 0x89 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x6,0x39,"bigfacen",,0x0,0x1 0x92 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x7,0x42,"bigdawn",,0x0,0x1 0x97 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x8,0x4a,"開始イベント終",,0x0,0x1 0x9a 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x9,0x59,"Func0018DA94",,0x0,0x1 0xa0 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0xa,0x66,"成功",,0x0,0x1 0xbf 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0xb,0x6b,"終了",,0x0,0x1 0xc5 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0xc,0x70,"ビッグドゥーン１",,0x0,0x1 0x121 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0xd,0x81,"ビッグドゥーン注１",,0x0,0x1 0x123 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0xe,0x94,"ビッグドゥーン２",,0x0,0x1 0x12e 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0xf,0xa5,"ビッグドゥーン注２",,0x0,0x1 0x130 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x10,0xb8,"カメラ２",,0x0,0x1 0x14d 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x11,0xc1,"ドゥーンルート１",,0x0,0x1 0x158 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x12,0xd2,"終点",,0x0,0xa 0x15a 0x172 0x452 0x46b 0x484 0x49d 0x4b6 0x4cf 0x4e8 0x501 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x13,0xd7,"ドゥーンルート２",,0x0,0x1 0x170 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x14,0xe8,"アンマリー＿操縦険しい",,0x0,0x3 0x1ba 0x322 0x3c2 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x15,0xff,"アンマリー",,0x0,0xe 0x1c5 0x1cc 0x1da 0x1e8 0x334 0x33b 0x349 0x382 0x390 0x397 0x39e 0x3ac 0x3ba 0x3c7 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x16,0x10a,"ついに大親分の登場ね。",,0x0,0x0 0x1 0x1c7,196,42,14
bvm_decmp/m/111/before3.bvmc,0x17,0x121,"状況は最悪。
最強の相手よ。",,0x0,0x0 0x1 0x1ce,196,42,14
bvm_decmp/m/111/before3.bvmc,0x18,0x13e,"アンマリー＿操縦真剣",,0x0,0x0 0x3 0x1d4 0x37a 0x3b4,196,42,14
bvm_decmp/m/111/before3.bvmc,0x19,0x153,"でも可能性はある。
敵は２体だけど、
こっちだって２人。",,0x0,0x0 0x1 0x1dc,196,42,14
bvm_decmp/m/111/before3.bvmc,0x1a,0x18c,"アンマリー＿操縦叫び",,0x0,0x0 0x2 0x1e2 0x343,196,42,14
bvm_decmp/m/111/before3.bvmc,0x1b,0x1a1,"いくよ。
人形剣技の奥義を尽くして！",,0x0,0x0 0x1 0x1ea,196,42,14
bvm_decmp/m/111/before3.bvmc,0x1c,0x1c6,"Func0018D904",,0x0,0x0 0x1 0x201,196,42,14
bvm_decmp/m/111/before3.bvmc,0x1d,0x1d3,"フェイス大１",,0x0,0x0 0x1 0x224,196,42,14
bvm_decmp/m/111/before3.bvmc,0x1e,0x1e0,"フェイス大注１",,0x0,0x0 0x1 0x227,196,42,14
bvm_decmp/m/111/before3.bvmc,0x1f,0x1ef,"フェイス大２",,0x0,0x0 0x1 0x233,196,42,14
bvm_decmp/m/111/before3.bvmc,0x20,0x1fc,"フェイス大注２",,0x0,0x0 0x1 0x236,196,42,14
bvm_decmp/m/111/before3.bvmc,0x21,0x20b,"フェイス大３",,0x0,0x0 0x1 0x242,196,42,14
bvm_decmp/m/111/before3.bvmc,0x22,0x218,"フェイス大注３",,0x0,0x0 0x1 0x245,196,42,14
bvm_decmp/m/111/before3.bvmc,0x23,0x227,"フェイス大４",,0x0,0x0 0x1 0x251,196,42,14
bvm_decmp/m/111/before3.bvmc,0x24,0x234,"フェイス大注４",,0x0,0x0 0x1 0x254,196,42,14
bvm_decmp/m/111/before3.bvmc,0x25,0x243,"フェイス大５",,0x0,0x0 0x1 0x260,196,42,14
bvm_decmp/m/111/before3.bvmc,0x26,0x250,"フェイス大注５",,0x0,0x0 0x1 0x263,196,42,14
bvm_decmp/m/111/before3.bvmc,0x27,0x25f,"フェイス大６",,0x0,0x0 0x1 0x26f,196,42,14
bvm_decmp/m/111/before3.bvmc,0x28,0x26c,"フェイス大注６",,0x0,0x0 0x1 0x272,196,42,14
bvm_decmp/m/111/before3.bvmc,0x29,0x27b,"フェイス大７",,0x0,0x0 0x1 0x27e,196,42,14
bvm_decmp/m/111/before3.bvmc,0x2a,0x288,"フェイス大注７",,0x0,0x0 0x1 0x281,196,42,14
bvm_decmp/m/111/before3.bvmc,0x2b,0x297,"フェイス大８",,0x0,0x0 0x1 0x28d,196,42,14
bvm_decmp/m/111/before3.bvmc,0x2c,0x2a4,"フェイス大注８",,0x0,0x0 0x1 0x290,196,42,14
bvm_decmp/m/111/before3.bvmc,0x2d,0x2b3,"フェイスパス",,0x0,0x0 0x8 0x29f 0x2a7 0x2af 0x2b7 0x2bf 0x2c7 0x2cf 0x2d7,196,42,14
bvm_decmp/m/111/before3.bvmc,0x2e,0x2c0,"カメラ１",,0x0,0x0 0x1 0x305,196,42,14
bvm_decmp/m/111/before3.bvmc,0x2f,0x2c9,"コックピット",,0x0,0x0 0x2 0x327 0x372,196,42,14
bvm_decmp/m/111/before3.bvmc,0x30,0x2d6,"見事に囲まれたみたい。",,0x0,0x0 0x1 0x336,196,42,14
bvm_decmp/m/111/before3.bvmc,0x31,0x2ed,"どうやら、悪運尽きたようね。",,0x0,0x0 0x1 0x33d,196,42,14
bvm_decmp/m/111/before3.bvmc,0x32,0x30a,"でも最後までやってやる。",,0x0,0x0 0x1 0x34b,196,42,14
bvm_decmp/m/111/before3.bvmc,0x33,0x323,"コックピットＬ",,0x0,0x0 0x1 0x350,196,42,14
bvm_decmp/m/111/before3.bvmc,0x34,0x332,"主人公＿操縦険しいＬ",,0x0,0x0 0x1 0x358,196,42,14
bvm_decmp/m/111/before3.bvmc,0x35,0x347,"主人公",,0x0,0x0 0x1 0x35e,196,42,14
bvm_decmp/m/111/before3.bvmc,0x36,0x34e,"うん。",,0x0,0x0 0x1 0x361,196,42,14
bvm_decmp/m/111/before3.bvmc,0x37,0x355,"カメラ１＿２",,0x0,0x0 0x1 0x368,196,42,14
bvm_decmp/m/111/before3.bvmc,0x38,0x362,"こんな時だけどさ。",,0x0,0x0 0x1 0x384,196,42,14
bvm_decmp/m/111/before3.bvmc,0x39,0x375,"アンマリー＿操縦平常時",,0x0,0x0 0x2 0x38a 0x3a6,196,42,14
bvm_decmp/m/111/before3.bvmc,0x3a,0x38c,"あんたに会えてよかったよ。",,0x0,0x0 0x1 0x392,196,42,14
bvm_decmp/m/111/before3.bvmc,0x3b,0x3a7,"私は
人形を操ることしか
できないから、",,0x0,0x0 0x1 0x399,196,42,14
bvm_decmp/m/111/before3.bvmc,0x3c,0x3d0,"本当に
それだけしか
できないから……。",,0x0,0x0 0x1 0x3a0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x3d,0x3f9,"仲間ができて嬉しかった。",,0x0,0x0 0x1 0x3ae,196,42,14
bvm_decmp/m/111/before3.bvmc,0x3e,0x412,"さ、行くよ。",,0x0,0x0 0x1 0x3bc,196,42,14
bvm_decmp/m/111/before3.bvmc,0x3f,0x41f,"玉砕覚悟。
最後の攻撃よ。",,0x0,0x0 0x1 0x3c9,196,42,14
bvm_decmp/m/111/before3.bvmc,0x40,0x43a,"カメラ１＿３",,0x0,0x0 0x1 0x3d4,196,42,14
bvm_decmp/m/111/before3.bvmc,0x41,0x447,"離脱用フェイスパス",,0x0,0x0 0x8 0x3e0 0x3e8 0x3f0 0x3f8 0x400 0x408 0x410 0x418,196,42,14
bvm_decmp/m/111/before3.bvmc,0x42,0x45a,"フェイス離脱ルート",,0x0,0x0 0x8 0x44f 0x468 0x481 0x49a 0x4b3 0x4cc 0x4e5 0x4fe,196,42,14
bvm_decmp/m/111/before3.bvmc,0x43,0x46d,"Func0018D9F4",,0x0,0x0 0x1 0x525,196,42,14
bvm_decmp/m/111/before3.bvmc,0x44,0x47a,"self",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x45,0x47f,"friend1",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x46,0x487,"enemy_bfn1",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/before3.bvmc,0x47,0x492,"enemy_bfn2",,0x0,0x0 0x0,196,42,14
