File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/111/mission3.bvmc,0x0,0x0,"Fortress01",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x1,0xb,"自機",,0x0,0x1 0x3b 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x2,0x10,"自注",,0x0,0x1 0x3d 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x3,0x15,"swdgunk",,0x0,0x1 0x45 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x4,0x1d,"アンマリー機",,0x0,0x1 0x47 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x5,0x2a,"アンマリー機注",,0x0,0x1 0x49 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x6,0x39,"bigfacen",,0x0,0x1 0x52 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x7,0x42,"bigdawn",,0x0,0x1 0x57 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x8,0x4a,"ビッグドゥーン１",,0x0,0x1 0x5e 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x9,0x5b,"ビッグドゥーン注１",,0x0,0x1 0x60 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0xa,0x6e,"ビッグドゥーン２",,0x0,0x1 0x6b 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0xb,0x7f,"ビッグドゥーン注２",,0x0,0x1 0x6d 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0xc,0x92,"フェイス大２",,0x0,0x1 0x78 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0xd,0x9f,"フェイス注",,0x0,0x4 0x7a 0x87 0x94 0xa1 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0xe,0xaa,"フェイス大３",,0x0,0x1 0x85 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0xf,0xb7,"フェイス大４",,0x0,0x1 0x92 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x10,0xc4,"フェイス大５",,0x0,0x1 0x9f 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x11,0xd1,"開始イベント終了",,0x0,0x1 0x143 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x12,0xe2,"Func0018806C",,0x0,0x1 0x149 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x13,0xef,"Func0018A99C",,0x0,0x2 0x158 0x167 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x14,0xfc,"敵全滅",,0x0,0x1 0x18a 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x15,0x103,"終了",,0x0,0x0 0x1 0x190,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x16,0x108,"Func0018A834",,0x0,0x0 0x1 0x1b6,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x17,0x115,"self",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x18,0x11a,"friend1",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x19,0x122,"enemy_bfn1",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x1a,0x12d,"enemy_bfn2",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x1b,0x138,"enemy_bfn3",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x1c,0x143,"enemy_bfn4",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x1d,0x14e,"enemy_bfn5",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x1e,0x159,"enemy_bfn6",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x1f,0x164,"enemy_bdawn1",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x20,0x171,"enemy_bdawn2",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x21,0x17e,"enName1",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x22,0x186,"enName2",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x23,0x18e,"OnGameOver",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x24,0x199,"main",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x25,0x19e,"Func0018A834",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x26,0x1ab,"Func0018806C",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/111/mission3.bvmc,0x27,0x1b8,"Func0018A99C",,0x0,0x0 0x0,196,42,14
