File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/S_GB/before.bvmc,0x0,0x0,"ÉKÉçÉCçHñ[",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x1,0xb,"ÉGÉäÅ[ÅQÇ™Ç¡Ç©ÇËÇ∑ÇÈ",,0x0,0x1 0x39 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x2,0x20,"ÉGÉäÅ[",,0x0,0x2 0x3e 0x4a 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x3,0x27,"ÉKÉçÉCçHñ[Ç…ÇÊÇ§Ç±ÇªÅB",,0x0,0x1 0x40 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x4,0x3e,"ÉGÉäÅ[ÅQÉÑÉâÉåÇk",,0x0,0x1 0x45 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x5,0x4f,"ì¸ÇÈÅH",,0x0,0x1 0x4c 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x6,0x56,"ÇÕÇ¢",,0x0,0x2 0x55 0xc3 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x7,0x5b,"Ç¢Ç¢Ç¶",,0x0,0x3 0x57 0xc8 0xe9 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x8,0x62,"ÇÕÇ¢ÇÕ",,0x0,0x2 0x64 0xcf 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x9,0x69,"Ç¢Ç¢Ç¶Ç¢",,0x0,0x3 0x66 0xd4 0xf4 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0xa,0x72,"ÇÕÇ¢ÇÕÇ¢",,0x0,0x2 0x6e 0xdb 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0xb,0x7b,"Ç¢Ç¢Ç¶Ç¢Ç¢",,0x0,0x3 0x70 0xe0 0xff 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0xc,0x86,"ÇÕÇ¢ÇÕÇ¢ÇÕ",,0x0,0x2 0x78 0xe7 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0xd,0x91,"Ç¢Ç¢Ç¶Ç¢Ç¢Ç¶",,0x0,0x3 0x7a 0xeb 0x10a 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0xe,0x9e,"ÇÕÇ¢ÇÕÇ¢ÇÕÇ¢",,0x0,0x2 0x82 0xf2 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0xf,0xab,"Ç¢Ç¢Ç¶Ç¢Ç¢Ç¶Ç¢",,0x0,0x3 0x84 0xf6 0x115 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x10,0xba,"ÇÕÇ¢ÇÕÇ¢ÇÕÇ¢ÇÕ",,0x0,0x2 0x8c 0xfd 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x11,0xc9,"Ç¢Ç¢Ç¶Ç¢Ç¢Ç¶Ç¢Ç¢",,0x0,0x3 0x8e 0x101 0x122 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x12,0xda,"ÇÕÇ¢ÇÕÇ¢ÇÕÇ¢ÇÕÇ¢",,0x0,0x2 0x96 0x108 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x13,0xeb,"Ç¢Ç¢Ç¶Ç¢Ç¢Ç¶Ç¢Ç¢Ç¶",,0x0,0x3 0x98 0x10c 0x12f 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x14,0xfe,"ÇÕÇ¢ÇÕÇ¢ÇÕÇ¢ÇÕÇ¢ÇÕ",,0x0,0x2 0xa0 0x113 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x15,0x111,"Ç¢Ç¢Ç¶Ç¢Ç¢Ç¶Ç¢Ç¢Ç¶Ç¢",,0x0,0x0 0x2 0xa2 0x117,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x16,0x126,"ÇÕÇ¢ÇÕÇ¢ÇÕÇ¢ÇÕÇ¢ÇÕÇ¢",,0x0,0x0 0x2 0xab 0x11f,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x17,0x13b,"Ç¢Ç¢Ç¶Ç¢Ç¢Ç¶Ç¢Ç¢Ç¶Ç¢Ç¢",,0x0,0x0 0x2 0xae 0x124,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x18,0x152,"ÇÕÇ¢ÇÕÇ¢ÇÕÇ¢ÇÕÇ¢ÇÕÇ¢ÇÕ",,0x0,0x0 0x2 0xb7 0x12c,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x19,0x169,"Ç¢Ç¢Ç¶Ç¢Ç¢Ç¶Ç¢Ç¢Ç¶Ç¢Ç¢Ç¶",,0x0,0x0 0x2 0xba 0x131,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x1a,0x182,"Ç¢",,0x0,0x0 0x2 0xc5 0xd1,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x1b,0x185,"Ç¢Ç¢",,0x0,0x0 0x1 0xdd,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x1c,0x18a,"sel",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x1d,0x18e,"OnGameOver",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_GB/before.bvmc,0x1e,0x199,"main",,0x0,0x0 0x0,196,42,14
