File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/S_ME/before.bvmc,0x0,0x0,"整備画面",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0x1,0x9,"ガロイ格納庫",,0x0,0x1 0x46 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0x2,0x16,"ケイ＿にが笑いＬ",,0x0,0x1 0x7e 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0x3,0x27,"ケイ",,0x0,0x7 0x8a 0x96 0xfa 0x115 0x121 0x18c 0x1a8 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0x4,0x2c,"の、
操り糸が傷んできたな。",,0x0,0x1 0x90 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0x5,0x49,"そろそろ整備が必要かもな。",,0x0,0x1 0x98 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0x6,0x64,"ケイ＿基本姿勢Ｌ",,0x0,0x1 0xee 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0x7,0x75,"そろそろ整備が必要だな。",,0x0,0x1 0xfc 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0x8,0x8e,"の
整備を始めるぜ。",,0x0,0x1 0x109 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0x9,0xa3,"ケイ＿友情の握手Ｌ",,0x0,0x2 0x11c 0x180 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0xa,0xb6,"整備が終わるまで、
こいつは使えなくなる。
違う人形を選んでくれ。",,0x0,0x1 0x123 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0xb,0xf9,"待たせたな。
整備が終わったぜ。",,0x0,0x1 0x18e 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0xc,0x11a,"の
整備完了だ。",,0x0,0x0 0x1 0x19b,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0xd,0x12b,"sel",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0xe,0x12f,"i",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0xf,0x131,"num",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0x10,0x135,"id",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0x11,0x138,"str0",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0x12,0x13d,"str1",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0x13,0x142,"OnGameOver",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_ME/before.bvmc,0x14,0x14d,"main",,0x0,0x0 0x0,196,42,14
