File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/pathtest/mission.bvmc,0x0,0x0,"France01",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest/mission.bvmc,0x1,0x9,"é©ï™",,0x0,0x2 0x3b 0x49 0x0,196,42,14
bvm_decmp/m/pathtest/mission.bvmc,0x2,0xe,"ìG",,0x0,0x2 0x3d 0x47 0x0,196,42,14
bvm_decmp/m/pathtest/mission.bvmc,0x3,0x11,"DUMP",,0x0,0x1 0x45 0x0,196,42,14
bvm_decmp/m/pathtest/mission.bvmc,0x4,0x16,"ÉãÅ[Ég",,0x0,0x1 0x5e 0x0,196,42,14
bvm_decmp/m/pathtest/mission.bvmc,0x5,0x1d,"èIóπ",,0x0,0x2 0x60 0xa2 0x0,196,42,14
bvm_decmp/m/pathtest/mission.bvmc,0x6,0x22,"Func00176C74",,0x0,0x1 0x80 0x0,196,42,14
bvm_decmp/m/pathtest/mission.bvmc,0x7,0x2f,"self",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest/mission.bvmc,0x8,0x34,"enemy",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest/mission.bvmc,0x9,0x3a,"OnGameOver",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest/mission.bvmc,0xa,0x45,"main",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/pathtest/mission.bvmc,0xb,0x4a,"Func00176C74",,0x0,0x0 0x0,196,42,14
