File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/map/America01.bvmc,0x0,0x0,"ame_zen",,0x0,0x0 0x0,196,42,14
bvm_decmp/map/America01.bvmc,0x1,0x8,"弾工房",,0x0,0x1 0x51 0x0,196,42,14
bvm_decmp/map/America01.bvmc,0x2,0xf,"弾工房の向き",,0x0,0x1 0x53 0x0,196,42,14
bvm_decmp/map/America01.bvmc,0x3,0x1c,"e_tower",,0x0,0x1 0x5d 0x0,196,42,14
bvm_decmp/map/America01.bvmc,0x4,0x24,"エンパイアビル",,0x0,0x1 0x5f 0x0,196,42,14
bvm_decmp/map/America01.bvmc,0x5,0x33,"エンパイアビルの向き",,0x0,0x1 0x61 0x0,196,42,14
bvm_decmp/map/America01.bvmc,0x6,0x48,"ame_hak",,0x0,0x1 0x6b 0x0,196,42,14
bvm_decmp/map/America01.bvmc,0x7,0x50,"ハクスハウゼンビル",,0x0,0x1 0x6d 0x0,196,42,14
bvm_decmp/map/America01.bvmc,0x8,0x63,"ハクスハウゼンビルの向き",,0x0,0x1 0x6f 0x0,196,42,14
bvm_decmp/map/America01.bvmc,0x9,0x7c,"Initialize",,0x0,0x0 0x0,196,42,14
