File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/map/France01.bvmc,0x0,0x0,"NotreDame2",,0x0,0x0 0x0,196,42,14
bvm_decmp/map/France01.bvmc,0x1,0xb,"ノートルダム前",,0x0,0x1 0x76 0x0,196,42,14
bvm_decmp/map/France01.bvmc,0x2,0x1a,"ノートルダム前の向き",,0x0,0x1 0x78 0x0,196,42,14
bvm_decmp/map/France01.bvmc,0x3,0x2f,"NotreDame3",,0x0,0x1 0x82 0x0,196,42,14
bvm_decmp/map/France01.bvmc,0x4,0x3a,"ノートルダム中",,0x0,0x1 0x84 0x0,196,42,14
bvm_decmp/map/France01.bvmc,0x5,0x49,"ノートルダム中の向き",,0x0,0x1 0x86 0x0,196,42,14
bvm_decmp/map/France01.bvmc,0x6,0x5e,"NotreDame1",,0x0,0x1 0x90 0x0,196,42,14
bvm_decmp/map/France01.bvmc,0x7,0x69,"ノートルダム後",,0x0,0x1 0x92 0x0,196,42,14
bvm_decmp/map/France01.bvmc,0x8,0x78,"ノートルダム後の向き",,0x0,0x1 0x94 0x0,196,42,14
bvm_decmp/map/France01.bvmc,0x9,0x8d,"Eiffel",,0x0,0x1 0x9e 0x0,196,42,14
bvm_decmp/map/France01.bvmc,0xa,0x94,"エッフェル塔",,0x0,0x1 0xa0 0x0,196,42,14
bvm_decmp/map/France01.bvmc,0xb,0xa1,"エッフェル塔の向き",,0x0,0x1 0xa2 0x0,196,42,14
bvm_decmp/map/France01.bvmc,0xc,0xb4,"louvre4",,0x0,0x1 0xac 0x0,196,42,14
bvm_decmp/map/France01.bvmc,0xd,0xbc,"ルーブル美術館",,0x0,0x1 0xae 0x0,196,42,14
bvm_decmp/map/France01.bvmc,0xe,0xcb,"ルーブル美術館の向き",,0x0,0x1 0xb0 0x0,196,42,14
bvm_decmp/map/France01.bvmc,0xf,0xe0,"Initialize",,0x0,0x0 0x0,196,42,14
