File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/map/Germany01.bvmc,0x0,0x0,"ger_tower_A",,0x0,0x0 0x0,196,42,14
bvm_decmp/map/Germany01.bvmc,0x1,0xc,"Žs’¡ŽÉ",,0x0,0x1 0x55 0x0,196,42,14
bvm_decmp/map/Germany01.bvmc,0x2,0x13,"Žs’¡ŽÉ‚ÌŒü‚«",,0x0,0x1 0x57 0x0,196,42,14
bvm_decmp/map/Germany01.bvmc,0x3,0x20,"ger_tower_B",,0x0,0x1 0x61 0x0,196,42,14
bvm_decmp/map/Germany01.bvmc,0x4,0x2c,"‹³‰ï",,0x0,0x1 0x63 0x0,196,42,14
bvm_decmp/map/Germany01.bvmc,0x5,0x31,"‹³‰ï‚ÌŒü‚«",,0x0,0x1 0x65 0x0,196,42,14
bvm_decmp/map/Germany01.bvmc,0x6,0x3c,"ger_tower_C",,0x0,0x1 0x6f 0x0,196,42,14
bvm_decmp/map/Germany01.bvmc,0x7,0x48,"“ƒ",,0x0,0x1 0x71 0x0,196,42,14
bvm_decmp/map/Germany01.bvmc,0x8,0x4b,"“ƒ‚ÌŒü‚«",,0x0,0x1 0x73 0x0,196,42,14
bvm_decmp/map/Germany01.bvmc,0x9,0x54,"Initialize",,0x0,0x0 0x0,196,42,14
