File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/map/Italia01.bvmc,0x0,0x0,"duomo_1",,0x0,0x0 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0x1,0x8,"ドゥオーモ大",,0x0,0x1 0x76 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0x2,0x15,"ドゥオーモ大の向き",,0x0,0x1 0x78 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0x3,0x28,"duomo_2A",,0x0,0x1 0x82 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0x4,0x31,"duomo_2",,0x0,0x2 0x84 0x94 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0x5,0x39,"ドゥオーモ小1",,0x0,0x1 0x86 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0x6,0x47,"ドゥオーモ小1の向き",,0x0,0x1 0x88 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0x7,0x5b,"duomo_2B",,0x0,0x1 0x92 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0x8,0x64,"ドゥオーモ小2",,0x0,0x1 0x96 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0x9,0x72,"ドゥオーモ小2の向き",,0x0,0x1 0x98 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0xa,0x86,"pitti_L1",,0x0,0x1 0xa2 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0xb,0x8f,"ピッティ宮殿L1",,0x0,0x1 0xa4 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0xc,0x9e,"ピッティ宮殿L1の向き",,0x0,0x1 0xa6 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0xd,0xb3,"pitti_L2",,0x0,0x1 0xb0 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0xe,0xbc,"ピッティ宮殿L2",,0x0,0x1 0xb2 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0xf,0xcb,"ピッティ宮殿L2の向き",,0x0,0x1 0xb4 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0x10,0xe0,"pitti_R1",,0x0,0x1 0xbe 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0x11,0xe9,"ピッティ宮殿R1",,0x0,0x1 0xc0 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0x12,0xf8,"ピッティ宮殿R1の向き",,0x0,0x1 0xc2 0x0,196,42,14
bvm_decmp/map/Italia01.bvmc,0x13,0x10d,"pitti_R2",,0x0,0x0 0x1 0xcc,196,42,14
bvm_decmp/map/Italia01.bvmc,0x14,0x116,"ピッティ宮殿R2",,0x0,0x0 0x1 0xcf,196,42,14
bvm_decmp/map/Italia01.bvmc,0x15,0x125,"ピッティ宮殿R2の向き",,0x0,0x0 0x1 0xd2,196,42,14
bvm_decmp/map/Italia01.bvmc,0x16,0x13a,"Initialize",,0x0,0x0 0x0,196,42,14
