File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/map/Japan03.bvmc,0x0,0x0,"GAROI_1",,0x0,0x0 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0x1,0x8,"ガロイ工房",,0x0,0x1 0x55 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0x2,0x13,"ガロイ工房の向き",,0x0,0x1 0x57 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0x3,0x24,"Residence",,0x0,0x1 0x61 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0x4,0x2e,"ハクスハウゼン屋敷",,0x0,0x1 0x63 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0x5,0x41,"ハクスハウゼン屋敷の向き",,0x0,0x1 0x65 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0x6,0x5a,"Station",,0x0,0x1 0x6f 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0x7,0x62,"駅",,0x0,0x1 0x71 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0x8,0x65,"駅の向き",,0x0,0x1 0x73 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0x9,0x6e,"Burger1A",,0x0,0x1 0x7d 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0xa,0x77,"Burger1",,0x0,0x2 0x7f 0x8f 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0xb,0x7f,"ザ・バーガー1",,0x0,0x1 0x81 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0xc,0x8d,"ザ・バーガー1の向き",,0x0,0x1 0x83 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0xd,0xa1,"Burger1B",,0x0,0x1 0x8d 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0xe,0xaa,"ザ・バーガー2",,0x0,0x1 0x91 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0xf,0xb8,"ザ・バーガー2の向き",,0x0,0x1 0x93 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0x10,0xcc,"ALICE",,0x0,0x1 0x9d 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0x11,0xd2,"カフェアリス",,0x0,0x1 0x9f 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0x12,0xdf,"カフェアリスの向き",,0x0,0x1 0xa1 0x0,196,42,14
bvm_decmp/map/Japan03.bvmc,0x13,0xf2,"Initialize",,0x0,0x0 0x0,196,42,14
