File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/map/museum01.bvmc,0x0,0x0,"museum01",,0x0,0x0 0x0,196,42,14
bvm_decmp/map/museum01.bvmc,0x1,0x9,"MG博物館",,0x0,0x1 0x55 0x0,196,42,14
bvm_decmp/map/museum01.bvmc,0x2,0x12,"MG博物館の向き",,0x0,0x1 0x57 0x0,196,42,14
bvm_decmp/map/museum01.bvmc,0x3,0x21,"soukoA",,0x0,0x1 0x61 0x0,196,42,14
bvm_decmp/map/museum01.bvmc,0x4,0x28,"souko",,0x0,0x3 0x63 0x73 0x83 0x0,196,42,14
bvm_decmp/map/museum01.bvmc,0x5,0x2e,"倉庫1",,0x0,0x1 0x65 0x0,196,42,14
bvm_decmp/map/museum01.bvmc,0x6,0x34,"倉庫1の向き",,0x0,0x1 0x67 0x0,196,42,14
bvm_decmp/map/museum01.bvmc,0x7,0x40,"soukoB",,0x0,0x1 0x71 0x0,196,42,14
bvm_decmp/map/museum01.bvmc,0x8,0x47,"倉庫2",,0x0,0x1 0x75 0x0,196,42,14
bvm_decmp/map/museum01.bvmc,0x9,0x4d,"倉庫2の向き",,0x0,0x1 0x77 0x0,196,42,14
bvm_decmp/map/museum01.bvmc,0xa,0x59,"soukoC",,0x0,0x1 0x81 0x0,196,42,14
bvm_decmp/map/museum01.bvmc,0xb,0x60,"倉庫3",,0x0,0x1 0x85 0x0,196,42,14
bvm_decmp/map/museum01.bvmc,0xc,0x66,"倉庫3の向き",,0x0,0x1 0x87 0x0,196,42,14
bvm_decmp/map/museum01.bvmc,0xd,0x72,"Initialize",,0x0,0x0 0x0,196,42,14
