"File","Offset","Pointers","Japanese","English","width","height","lineheight",,"English"
"RoboDesc.opb","0x1dec","0x1 0x4ac","人形甲虫アヴェルス","Puppet Beetle Avuels",-1,-1,16,,"Puppet Beetle Avuels"
"RoboDesc.opb","0x1dff","0x1 0x4b0","人形甲虫アヴェルス","|Puppet Beetle Avuels",124,16,16,,"Puppet Beetle Avuels"
"RoboDesc.opb","0x1e12","0x1 0x4bc","　人形甲虫の新モ
デル。アトラス大
カブトをモデルに
作られた。人形甲
虫の中では、最高
の性能を持ってい
る。","　人形甲虫の新モ
デル。アトラス大
カブトをモデルに
作られた。人形甲
虫の中では、最高
の性能を持ってい
る。",114,176,16,"A new kind of beetle Puppet modeled on the Atlas beetle. It has the best performance among beetle-type Puppets.","　人形甲虫の新モ
デル。アトラス大
カブトをモデルに
作られた。人形甲
虫の中では、最高
の性能を持ってい
る。"
"RoboDesc.opb","0x1e83","0x1 0x4c0","　左下のレバーを
動かすとツノが動
く。円形の回転レ
バーを回している
間、動きが素早く
なる。左上のスイ
ッチでバトルモー
ドチェンジ。バト
ルモードでは戦闘
力が高まるが、熱
量は増加していく。","  Bottom-left lever: Moves the horn.
  Spinner: Increases speed.
  Left switch: Toggles Battle Mode.
  Battle Mode increases fighting power, but builds up heat faster.",114,176,16,,"　左下のレバーを
動かすとツノが動
く。円形の回転レ
バーを回している
間、動きが素早く
なる。左上のスイ
ッチでバトルモー
ドチェンジ。バト
ルモードでは戦闘
力が高まるが、熱
量は増加していく。"
"RoboDesc.opb","0x1f4a","0x1 0x4d8","オートガンナー","Autogunner",-1,-1,16,,"Autogunner"
"RoboDesc.opb","0x1f59","0x1 0x4dc","オートガンナー","|Autogunner",124,16,16,,"Autogunner"
"RoboDesc.opb","0x1f68","0x2 0x4e8 0x4ec","　重戦車のような
オートマン。人形
としての機能の大
部分を捨てて戦闘
力のみを高めた恐
るべき自動人形で
ある。安定性を高
めるため、脚部は
キャタピラとなり、
アームは回転キャ
ノン砲となった。","　重戦車のような
オートマン。人形
としての機能の大
部分を捨てて戦闘
力のみを高めた恐
るべき自動人形で
ある。安定性を高
めるため、脚部は
キャタピラとなり、
アームは回転キャ
ノン砲となった。",114,176,16,"An Automan similar to a heavy tank. Many functions have been discarded to raise its combat power. The legs have become treads to improve stability, while the arms have become rotating cannon guns.","　重戦車のような
オートマン。人形
としての機能の大
部分を捨てて戦闘
力のみを高めた恐
るべき自動人形で
ある。安定性を高
めるため、脚部は
キャタピラとなり、
アームは回転キャ
ノン砲となった。"
"RoboDesc.opb","0x202f","0x1 0x504","オートマン","Automan",-1,-1,16,,"Automan"
"RoboDesc.opb","0x203a","0x1 0x508","オートマン","|Automan",124,16,16,,"Automan"
"RoboDesc.opb","0x2045","0x2 0x514 0x518","　闇の人形師ファ
ウストが完成させ
た自動人形。自律
行動が可能な超高
性能人形である。
　人形としての構
造は単純化されて
いるが、それでも
二足歩行を実現さ
せている。","　闇の人形師ファ
ウストが完成させ
た自動人形。自律
行動が可能な超高
性能人形である。
　人形としての構
造は単純化されて
いるが、それでも
二足歩行を実現さ
せている。",114,176,16,"An automatic Puppet created by the Dark Puppeteer Faust. It's a super high-performance Puppet that can act autonomously. While its structure as a Puppet is simplfied, it's still capable of bipedal movement.","　闇の人形師ファ
ウストが完成させ
た自動人形。自律
行動が可能な超高
性能人形である。
　人形としての構
造は単純化されて
いるが、それでも
二足歩行を実現さ
せている。"
"RoboDesc.opb","0x20f2","0x1 0x530","オートマンＷタンク","Automan W-Tank",-1,-1,16,,"Automan W-Tank"
"RoboDesc.opb","0x2105","0x1 0x534","オートマンＷタンク","|Automan W-Tank",124,16,16,,"Automan W-Tank"
"RoboDesc.opb","0x2118","0x2 0x540 0x544","　正式名称はオー
トマン・ワイルド
タンク。巨大なハ
ンマーを搭載する
ためキャタピラ移
動式となり、その
分、汎用性が低下。
完全に戦闘用のオ
ートマンとなった。
　人形都市によっ
て生み出された。","　正式名称はオー
トマン・ワイルド
タンク。巨大なハ
ンマーを搭載する
ためキャタピラ移
動式となり、その
分、汎用性が低下。
完全に戦闘用のオ
ートマンとなった。
　人形都市によっ
て生み出された。",114,176,16,"Its official name is {Automan Wild Tank}. Due to its huge hammers, it has to use treads, reducing its versatility. Created by the Puppet City, it's completely designed for autonomous combat.","　正式名称はオー
トマン・ワイルド
タンク。巨大なハ
ンマーを搭載する
ためキャタピラ移
動式となり、その
分、汎用性が低下。
完全に戦闘用のオ
ートマンとなった。
　人形都市によっ
て生み出された。"
"RoboDesc.opb","0x21e1","0x1 0x55c","バネ人形スプリンガ","Spring Puppet Springer",-1,-1,16,,"Spring Puppet Springer"
"RoboDesc.opb","0x21f4","0x1 0x560","バネ人形スプリンガ","|Spring Puppet Springer",124,16,16,,"Spring Puppet Springer"
"RoboDesc.opb","0x2207","0x1 0x56c","　１０年以上前に
開発された人形。
バネを動力とし、
電子装備を一切使
っていない。
　重量が軽いため、
バネによって素早
く動く。
　対オートマン用
の武装も追加され、
旧型のわりに強い。","　１０年以上前に
開発された人形。
バネを動力とし、
電子装備を一切使
っていない。
　重量が軽いため、
バネによって素早
く動く。
　対オートマン用
の武装も追加され、
旧型のわりに強い。",114,176,16,,"　１０年以上前に
開発された人形。
バネを動力とし、
電子装備を一切使
っていない。
　重量が軽いため、
バネによって素早
く動く。
　対オートマン用
の武装も追加され、
旧型のわりに強い。"
"RoboDesc.opb","0x22c6","0x1 0x570","　コクピットに置
かれた３つのバネ
で操作する。
　左のバネを下に
引いてから離すと、
スプリングパンチ。
　中央のバネで、
フリップショット。
　右のバネで高速
前進スプリングチ
ャージ。","  Operate using the three springs in the cockpit.
  Left spring: Pull and release to do a Spring Punch.
  Center spring: Flip Shot.
  Right spring: Does a high-speed Spring Charge.",114,176,16,,"　コクピットに置
かれた３つのバネ
で操作する。
　左のバネを下に
引いてから離すと、
スプリングパンチ。
　中央のバネで、
フリップショット。
　右のバネで高速
前進スプリングチ
ャージ。"
"RoboDesc.opb","0x2385","0x1 0x588","バネ人形スプリンガＢ","Spring Puppet Springer-B",-1,-1,16,,"Spring Puppet Springer-B"
"RoboDesc.opb","0x239a","0x1 0x58c","バネ人形スプリンガＢ","|Spring Puppet Springer-B",124,16,16,,"Spring Puppet Springer-B"
"RoboDesc.opb","0x23af","0x1 0x598","　バネ人形の強化
型。スプリングパ
ンチの破壊力が劇
的に増加。接近戦
により強くなった。","　バネ人形の強化
型。スプリングパ
ンチの破壊力が劇
的に増加。接近戦
により強くなった。",114,176,16,,"　バネ人形の強化
型。スプリングパ
ンチの破壊力が劇
的に増加。接近戦
により強くなった。"
"RoboDesc.opb","0x240a","0x1 0x59c","　コクピットに置
かれた３つのバネ
で操作する。
　左のバネを下に
引いてから離すと、
スプリングパンチ。
　中央のバネで、
フリップショット。
　右のバネで高速
前進スプリングチ
ャージ。","  Operate using the three springs in the cockpit.
  Left spring: Pull and release to do a Spring Punch.
  Center spring: Flip Shot.
  Right spring: Does a high-speed Spring Charge.",114,176,16,,"　コクピットに置
かれた３つのバネ
で操作する。
　左のバネを下に
引いてから離すと、
スプリングパンチ。
　中央のバネで、
フリップショット。
　右のバネで高速
前進スプリングチ
ャージ。"
"RoboDesc.opb","0x24c9","0x1 0x5b4","バネ人形スプリンガＳ","Spring Puppet Springer-S",-1,-1,16,,"Spring Puppet Springer-S"
"RoboDesc.opb","0x24de","0x1 0x5b8","バネ人形スプリンガＳ","|Spring Puppet Springer-S",124,16,16,,"Spring Puppet Springer-S"
"RoboDesc.opb","0x24f3","0x1 0x5c4","　バネ人形の完成
形。
　神鉄でできたバ
ネを搭載すること
で、驚異的な性能
を持つようになっ
た。","　バネ人形の完成
形。
　神鉄でできたバ
ネを搭載すること
で、驚異的な性能
を持つようになっ
た。",114,176,16,,"　バネ人形の完成
形。
　神鉄でできたバ
ネを搭載すること
で、驚異的な性能
を持つようになっ
た。"
"RoboDesc.opb","0x2558","0x1 0x5c8","　コクピットに置
かれた３つのバネ
で操作する。
　左のバネを下に
引いてから離すと、
スプリングパンチ。
　中央のバネで、
フリップショット。
　右のバネで高速
前進スプリングチ
ャージ。","  Operate using the three springs in the cockpit.
  Left spring: Pull and release to do a Spring Punch.
  Center spring: Flip Shot.
  Right spring: Does a high-speed Spring Charge.",114,176,16,,"　コクピットに置
かれた３つのバネ
で操作する。
　左のバネを下に
引いてから離すと、
スプリングパンチ。
　中央のバネで、
フリップショット。
　右のバネで高速
前進スプリングチ
ャージ。"
"RoboDesc.opb","0x2617","0x1 0x5e0","人形王","Puppet King",-1,-1,16,,"Puppet King"
"RoboDesc.opb","0x261e","0x1 0x5e4","人形王","|Puppet King",124,16,16,,"Puppet King"
